alpha,time,pos_err_noNN,pos_err_surrogate,pos_excess_surrogate_minus_noNN,vel_err_noNN,vel_err_surrogate,vel_excess_surrogate_minus_noNN,after_event_exit
0.25,0.0,1.583578631377114e-18,1.583578631377114e-18,0.0,1.583578631377114e-18,1.583578631377114e-18,0.0,0
0.25,0.08340283569641367,0.059154493581330965,0.059154493581330965,0.0,0.05392220097263249,0.05392220097263249,0.0,0
0.25,0.16680567139282734,0.056600188707966306,0.056600188707966306,0.0,0.05151989711062812,0.05151989711062812,0.0,0
0.25,0.25020850708924103,0.054047368528021764,0.054047368528021764,0.0,0.049123604818109304,0.049123604818109304,0.0,0
0.25,0.3336113427856547,0.051494204736431536,0.051494204736431536,0.0,0.04673142689546512,0.04673142689546512,0.0,0
0.25,0.41701417848206834,0.048938886642817335,0.048938886642817335,0.0,0.044341451362561644,0.044341451362561644,0.0,0
0.25,0.5004170141784821,0.04637963322690169,0.04637963322690169,0.0,0.04195176409521478,0.04195176409521478,0.0,0
0.25,0.5838198498748957,0.04381470546063864,0.04381470546063864,0.0,0.039560462139448416,0.039560462139448416,0.0,0
0.25,0.6672226855713094,0.04124241899440836,0.04124241899440836,0.0,0.037165667868107766,0.037165667868107766,0.0,0
0.25,0.7506255212677231,0.03866115737872603,0.03866115737872603,0.0,0.03476554423747107,0.03476554423747107,0.0,0
0.25,0.8340283569641367,0.03606938611722905,0.03606938611722905,0.0,0.032358311558795,0.032358311558795,0.0,0
0.25,0.9174311926605504,0.033465668062635415,0.033465668062635415,0.0,0.029942266477141814,0.029942266477141814,0.0,0
0.25,1.0008340283569641,0.03084868105647196,0.03084868105647196,0.0,0.027515804359653423,0.027515804359653423,0.0,0
0.25,1.0842368640533777,0.028217239444037208,0.028217239444037208,0.0,0.025077447274432188,0.025077447274432188,0.0,0
0.25,1.1676396997497913,0.025570322534855368,0.025570322534855368,0.0,0.02262588171756145,0.02262588171756145,0.0,0
0.25,1.2510425354462051,0.022907116075215134,0.022907116075215134,0.0,0.020160014479025837,0.020160014479025837,0.0,0
0.25,1.3344453711426187,0.020227079472737663,0.020227079472737663,0.0,0.017679064780414547,0.017679064780414547,0.0,0
0.25,1.4178482068390323,0.01753006764652062,0.01753006764652062,0.0,0.015182735320794697,0.015182735320794697,0.0,0
0.25,1.5012510425354462,0.01481657959375332,0.01481657959375332,0.0,0.012671573849783277,0.012671573849783277,0.0,0
0.25,1.5846538782318598,0.012088337897176463,0.012088337897176463,0.0,0.01014786201937364,0.01014786201937364,0.0,0
0.25,1.6680567139282734,0.00934988618172674,0.00934988618172674,0.0,0.007618269076621804,0.007618269076621804,0.0,0
0.25,1.7514595496246872,0.006614171679868396,0.006614171679868396,0.0,0.005104391264556382,0.005104391264556382,0.0,0
0.25,1.8348623853211008,0.003931340188932513,0.003931340188932513,0.0,0.002711406618973392,0.002711406618973392,0.0,0
0.25,1.9182652210175144,0.0017014742035664123,0.0017014742035664123,0.0,0.00150297208784631,0.00150297208784631,0.0,0
0.25,2.0016680567139282,0.06124901095817341,0.06124901095817341,0.0,0.05607573671385058,0.05607573671385058,0.0,0
0.25,2.0850708924103416,0.05846674098646835,0.05846674098646835,0.0,0.053564120818168394,0.053564120818168394,0.0,0
0.25,2.1684737281067554,0.05566331903317516,0.05566331903317516,0.0,0.051029172487859494,0.051029172487859494,0.0,0
0.25,2.2518765638031693,0.05283918958561407,0.05283918958561407,0.0,0.048470844763508956,0.048470844763508956,0.0,0
0.25,2.3352793994995826,0.04999498849638833,0.04999498849638833,0.0,0.045889339334726595,0.045889339334726595,0.0,0
0.25,2.4186822351959965,0.04713154568519692,0.04713154568519692,0.0,0.043285114112718605,0.043285114112718605,0.0,0
0.25,2.5020850708924103,0.044249888322338504,0.044249888322338504,0.0,0.04065888962701377,0.04065888962701377,0.0,0
0.25,2.5854879065888237,0.04135124551306666,0.04135124551306666,0.0,0.03801165478738841,0.03801165478738841,0.0,0
0.25,2.6688907422852375,0.03843705617852802,0.03843705617852802,0.0,0.03534467306933187,0.03534467306933187,0.0,0
0.25,2.7522935779816513,0.03550898299729714,0.03550898299729714,0.0,0.03265949106571499,0.03265949106571499,0.0,0
0.25,2.8356964136780647,0.03256893737356761,0.03256893737356761,0.0,0.029957952923540053,0.029957952923540053,0.0,0
0.25,2.9190992493744785,0.029619124358970756,0.029619124358970756,0.0,0.027242227136439288,0.027242227136439288,0.0,0
0.25,3.0025020850708923,0.02666212431937647,0.02666212431937647,0.0,0.024514858012111895,0.024514858012111895,0.0,0
0.25,3.0859049207673057,0.023701044721757523,0.023701044721757523,0.0,0.021778866491217817,0.021778866491217817,0.0,0
0.25,3.1693077564637195,0.020739812948136916,0.020739812948136916,0.0,0.019037953124831957,0.019037953124831957,0.0,0
0.25,3.2527105921601334,0.01778377350778968,0.01778377350778968,0.0,0.016296926004596902,0.016296926004596902,0.0,0
0.25,3.3361134278565467,0.014841005861699523,0.014841005861699523,0.0,0.01356267067269843,0.01356267067269843,0.0,0
0.25,3.4195162635529606,0.011925567654838706,0.011925567654838706,0.0,0.010846598570725372,0.010846598570725372,0.0,0
0.25,3.5029190992493744,0.009066782749749992,0.009066782749749992,0.0,0.008171885492340407,0.008171885492340407,0.0,0
0.25,3.5863219349457878,0.006342100098320742,0.006342100098320742,0.0,0.005600501794142889,0.005600501794142889,0.0,0
0.25,3.6697247706422016,0.004027797209192917,0.004027797209192917,0.0,0.0033731050872542272,0.0033731050872542272,0.0,0
0.25,3.7531276063386154,0.0031811668848608725,0.0031811668848608725,0.0,0.0025950134492640315,0.0025950134492640315,0.0,0
0.25,3.836530442035029,0.004666731159877029,0.004666731159877029,0.0,0.004159456677326639,0.004159456677326639,0.0,0
0.25,3.9199332777314426,0.007143057441255982,0.007143057441255982,0.0,0.0065496741740726705,0.0065496741740726705,0.0,0
0.25,4.0033361134278564,0.05442681721836089,0.05442681721836089,0.0,0.051358254175978064,0.051358254175978064,0.0,0
0.25,4.08673894912427,0.05142688103658763,0.05142688103658763,0.0,0.04853938620689752,0.04853938620689752,0.0,0
0.25,4.170141784820683,0.048436431829916894,0.048436431829916894,0.0,0.04572809064369683,0.04572809064369683,0.0,0
0.25,4.253544620517097,0.04545710984182426,0.04545710984182426,0.0,0.04292657619761061,0.04292657619761061,0.0,0
0.25,4.336947456213511,0.04249044091602157,0.04249044091602157,0.0,0.04013685899951181,0.04013685899951181,0.0,0
0.25,4.420350291909925,0.03953782997304714,0.03953782997304714,0.0,0.037360737490775085,0.037360737490775085,0.0,0
0.25,4.5037531276063385,0.03660055857566666,0.03660055857566666,0.0,0.034599769185205,0.034599769185205,0.0,0
0.25,4.587155963302752,0.033679788155915685,0.033679788155915685,0.0,0.031855249235998424,0.031855249235998424,0.0,0
0.25,4.670558798999165,0.030776571586106628,0.030776571586106628,0.0,0.029128190756168293,0.029128190756168293,0.0,0
0.25,4.753961634695579,0.027891877909696838,0.027891877909696838,0.0,0.026419306983735565,0.026419306983735565,0.0,0
0.25,4.837364470391993,0.025026639330648432,0.025026639330648432,0.0,0.023728995792570796,0.023728995792570796,0.0,0
0.25,4.920767306088407,0.022181838642520057,0.022181838642520057,0.0,0.021057328041149178,0.021057328041149178,0.0,0
0.25,5.004170141784821,0.01935867590662326,0.01935867590662326,0.0,0.018404043606772013,0.018404043606772013,0.0,0
0.25,5.087572977481234,0.016558904195285024,0.016558904195285024,0.0,0.015768564819239456,0.015768564819239456,0.0,0
0.25,5.170975813177647,0.013785564552130088,0.013785564552130088,0.0,0.013150053067127021,0.013150053067127021,0.0,0
0.25,5.254378648874061,0.011044793321787316,0.011044793321787316,0.0,0.01054758498266609,0.01054758498266609,0.0,0
0.25,5.337781484570475,0.008351055037298633,0.008351055037298633,0.0,0.007960720001573149,0.007960720001573149,0.0,0
0.25,5.421184320266889,0.005746383547523718,0.005746383547523718,0.0,0.005391752784704161,0.005391752784704161,0.0,0
0.25,5.504587155963303,0.0034016808123498634,0.0034016808123498634,0.0,0.002860071981987471,0.002860071981987471,0.0,0
0.25,5.5879899916597155,0.002271223032074118,0.002271223032074118,0.0,0.0007737692735555062,0.0007737692735555062,0.0,0
0.25,5.671392827356129,0.003684912527668806,0.003684912527668806,0.0,0.002510016534877639,0.002510016534877639,0.0,0
0.25,5.754795663052543,0.006054944851185939,0.006054944851185939,0.0,0.005033760521425158,0.005033760521425158,0.0,0
0.25,5.838198498748957,0.008618474641959402,0.008618474641959402,0.0,0.007605881103253959,0.007605881103253959,0.0,0
0.25,5.921601334445371,0.05082766876700201,0.05082766876700201,0.0,0.048012622920073154,0.048012622920073154,0.0,0
0.25,6.005004170141785,0.04810896692457359,0.04810896692457359,0.0,0.04554234816012855,0.04554234816012855,0.0,0
0.25,6.088407005838198,0.04540263634421064,0.04540263634421064,0.0,0.04308189805336178,0.04308189805336178,0.0,0
0.25,6.171809841534611,0.04270762229916759,0.04270762229916759,0.0,0.040625846783900674,0.040625846783900674,0.0,0
0.25,6.255212677231025,0.040022982872890675,0.040022982872890675,0.0,0.03816957159989122,0.03816957159989122,0.0,0
0.25,6.338615512927439,0.03734791387717683,0.03734791387717683,0.0,0.03571067173814549,0.03571067173814549,0.0,0
0.25,6.422018348623853,0.03468171749475113,0.03468171749475113,0.0,0.03325010722881754,0.03325010722881754,0.0,0
0.25,6.505421184320267,0.03202371045674186,0.03202371045674186,0.0,0.030791936268754157,0.030791936268754157,0.0,0
0.25,6.58882402001668,0.02937313381834869,0.02937313381834869,0.0,0.028340900860771723,0.028340900860771723,0.0,0
0.25,6.6722268557130935,0.026729227173818326,0.026729227173818326,0.0,0.025898654408699037,0.025898654408699037,0.0,0
0.25,6.755629691409507,0.024091723642989164,0.024091723642989164,0.0,0.023460890279742682,0.023460890279742682,0.0,0
0.25,6.839032527105921,0.021462094923302928,0.021462094923302928,0.0,0.021017263820913522,0.021017263820913522,0.0,0
0.25,6.922435362802335,0.018846046638326393,0.018846046638326393,0.0,0.018554296636438,0.018554296636438,0.0,0
0.25,7.005838198498749,0.016258346318767297,0.016258346318767297,0.0,0.016060958648571474,0.016060958648571474,0.0,0
0.25,7.089241034195162,0.013732679664787707,0.013732679664787707,0.0,0.013539292376109822,0.013539292376109822,0.0,0
0.25,7.1726438698915755,0.011343191064707868,0.011343191064707868,0.0,0.011030751256880744,0.011030751256880744,0.0,0
0.25,7.256046705587989,0.009252002999483963,0.009252002999483963,0.0,0.008693605972342418,0.008693605972342418,0.0,0
0.25,7.339449541284403,0.007792080710317899,0.007792080710317899,0.0,0.007020002410280883,0.007020002410280883,0.0,0
0.25,7.422852376980817,0.007462621619501461,0.007462621619501461,0.0,0.00704360119870841,0.00704360119870841,0.0,0
0.25,7.506255212677231,0.008516764280664859,0.008516764280664859,0.0,0.009337204230582935,0.009337204230582935,0.0,0
0.25,7.589658048373644,0.010656911909393156,0.010656911909393156,0.0,0.013343480842282665,0.013343480842282665,0.0,0
0.25,7.673060884070058,0.013465074849893649,0.013465074849893649,0.0,0.018594791278898685,0.018594791278898685,0.0,0
0.25,7.756463719766471,0.016679649769913717,0.016679649769913717,0.0,0.02496777254448842,0.02496777254448842,0.0,0
0.25,7.839866555462885,0.020154874159475644,0.020154874159475644,0.0,0.032465792076315815,0.032465792076315815,0.0,0
0.25,7.923269391159299,0.0570855090445553,0.0570855090445553,0.0,0.09424596842798164,0.09424596842798164,0.0,0
0.25,8.006672226855713,0.054906936512185034,0.054906936512185034,0.0,0.09474948528961169,0.09474948528961169,0.0,0
0.25,8.090075062552126,0.05254886228427723,0.05254886228427723,0.0,0.09366342608081589,0.09366342608081589,0.0,0
0.25,8.17347789824854,0.04996355135042552,0.04996355135042552,0.0,0.09047094599482149,0.09047094599482149,0.0,0
0.25,8.256880733944953,0.047123550168738204,0.047123550168738204,0.0,0.0849474795289279,0.0849474795289279,0.0,0
0.25,8.340283569641366,0.044035679523901715,0.044035679523901715,0.0,0.07732019381694248,0.07732019381694248,0.0,0
0.25,8.423686405337781,0.040744985874572204,0.040744985874572204,0.0,0.06823751873689503,0.06823751873689503,0.0,0
0.25,8.507089241034194,0.037324320125285367,0.037324320125285367,0.0,0.05854454290066382,0.05854454290066382,0.0,0
0.25,8.590492076730609,0.033855066588661484,0.033855066588661484,0.0,0.04901156889476988,0.04901156889476988,0.0,0
0.25,8.673894912427022,0.030409606837100152,0.030409606837100152,0.0,0.040168364502997364,0.040168364502997364,0.0,0
0.25,8.757297748123435,0.027042236243737937,0.027042236243737937,0.0,0.03228043790768942,0.03228043790768942,0.0,0
0.25,8.84070058381985,0.023788526580269125,0.023788526580269125,0.0,0.025411454827992983,0.025411454827992983,0.0,0
0.25,8.924103419516262,0.020669749012264964,0.020669749012264964,0.0,0.0195056210063349,0.0195056210063349,0.0,0
0.25,9.007506255212677,0.017699369636545215,0.017699369636545215,0.0,0.014455254249113524,0.014455254249113524,0.0,0
0.25,9.09090909090909,0.014890602730122457,0.014890602730122457,0.0,0.01014893417611751,0.01014893417611751,0.0,0
0.25,9.174311926605505,0.012266355533716855,0.012266355533716855,0.0,0.006519817667720526,0.006519817667720526,0.0,0
0.25,9.257714762301918,0.009876203931506783,0.009876203931506783,0.0,0.003692866815858624,0.003692866815858624,0.0,0
0.25,9.34111759799833,0.00783058110593036,0.00783058110593036,0.0,0.002657591570686727,0.002657591570686727,0.0,0
0.25,9.424520433694745,0.006360453466851929,0.006360453466851929,0.0,0.004073658601260843,0.004073658601260843,0.0,0
0.25,9.507923269391158,0.005821335798299856,0.005821335798299856,0.0,0.006179439750043886,0.006179439750043886,0.0,0
0.25,9.591326105087573,0.006388139523283441,0.006388139523283441,0.0,0.008321373703104788,0.008321373703104788,0.0,0
0.25,9.674728940783986,0.007787154191460486,0.007787154191460486,0.0,0.010401055804057882,0.010401055804057882,0.0,0
0.25,9.758131776480399,0.009644329751839582,0.009644329751839582,0.0,0.012413615261196075,0.012413615261196075,0.0,0
0.25,9.841534612176813,0.044679091864960795,0.044679091864960795,0.0,0.04114306825153697,0.04114306825153697,0.0,0
0.25,9.924937447873226,0.04164635464531348,0.04164635464531348,0.0,0.03801258819355878,0.03801258819355878,0.0,0
0.25,10.008340283569641,0.038712364116793914,0.038712364116793914,0.0,0.03513114248425974,0.03513114248425974,0.0,0
0.25,10.091743119266054,0.03586795851677179,0.03586795851677179,0.0,0.032461068712102574,0.032461068712102574,0.0,0
0.25,10.175145954962469,0.033105248481003234,0.033105248481003234,0.0,0.029970707973912936,0.029970707973912936,0.0,0
0.25,10.258548790658882,0.03041772489070156,0.03041772489070156,0.0,0.027633311550277005,0.027633311550277005,0.0,0
0.25,10.341951626355295,0.02780047427415158,0.02780047427415158,0.0,0.025426180537662737,0.025426180537662737,0.0,0
0.25,10.42535446205171,0.02525056878911684,0.02525056878911684,0.0,0.02333001093326221,0.02333001093326221,0.0,0
0.25,10.508757297748122,0.022767746205179577,0.022767746205179577,0.0,0.021328434899058408,0.021328434899058408,0.0,0
0.25,10.592160133444537,0.02035558696860616,0.02035558696860616,0.0,0.019407775970254705,0.019407775970254705,0.0,0
0.25,10.67556296914095,0.018023569302592864,0.018023569302592864,0.0,0.01755708108751428,0.01755708108751428,0.0,0
0.25,10.758965804837363,0.015790707478715173,0.015790707478715173,0.0,0.01576857551217044,0.01576857551217044,0.0,0
0.25,10.842368640533778,0.013692031657669733,0.013692031657669733,0.0,0.014038851005009591,0.014038851005009591,0.0,0
0.25,10.92577147623019,0.011789809184351924,0.011789809184351924,0.0,0.012371435409446458,0.012371435409446458,0.0,0
0.25,11.009174311926605,0.010190546208534181,0.010190546208534181,0.0,0.010782086822657003,0.010782086822657003,0.0,0
0.25,11.092577147623018,0.009059528814540712,0.009059528814540712,0.0,0.009309460177728034,0.009309460177728034,0.0,0
0.25,11.175979983319431,0.008595991844231808,0.008595991844231808,0.0,0.008035265990660428,0.008035265990660428,0.0,0
0.25,11.259382819015846,0.008925186172645445,0.008925186172645445,0.0,0.007113817962572178,0.007113817962572178,0.0,0
0.25,11.342785654712259,0.009995521917853993,0.009995521917853993,0.0,0.006778675343212999,0.006778675343212999,0.0,0
0.25,11.426188490408673,0.011634542638994893,0.011634542638994893,0.0,0.007243379723787148,0.007243379723787148,0.0,0
0.25,11.509591326105086,0.013672582092034972,0.013672582092034972,0.0,0.008546339646354798,0.008546339646354798,0.0,0
0.25,11.592994161801501,0.015993722602539128,0.015993722602539128,0.0,0.01058502884466088,0.01058502884466088,0.0,0
0.25,11.676396997497914,0.018530047335129883,0.018530047335129883,0.0,0.013268085713680279,0.013268085713680279,0.0,0
0.25,11.759799833194327,0.02124480489803142,0.02124480489803142,0.0,0.016578197509477893,0.016578197509477893,0.0,0
0.25,11.843202668890742,0.05121599424094865,0.05121599424094865,0.0,0.08235648288190893,0.08235648288190893,0.0,0
0.25,11.926605504587155,0.05066364555955169,0.05066364555955169,0.0,0.08623220731630822,0.08623220731630822,0.0,0
0.25,12.01000834028357,0.050127225159449805,0.050127225159449805,0.0,0.09033539641784065,0.09033539641784065,0.0,0
0.25,12.093411175979982,0.049543053962809835,0.049543053962809835,0.0,0.09434183881192142,0.09434183881192142,0.0,0
0.25,12.176814011676395,0.04882350776915622,0.04882350776915622,0.0,0.09772359278300655,0.09772359278300655,0.0,0
0.25,12.26021684737281,0.047858787631634155,0.047858787631634155,0.0,0.09974082142058131,0.09974082142058131,0.0,0
0.25,12.343619683069223,0.046529481069848264,0.046529481069848264,0.0,0.09953959332818807,0.09953959332818807,0.0,0
0.25,12.427022518765638,0.044734172507267446,0.044734172507267446,0.0,0.09639911399344665,0.09639911399344665,0.0,0
0.25,12.51042535446205,0.04242834963190292,0.04242834963190292,0.0,0.0900640971114491,0.0900640971114491,0.0,0
0.25,12.593828190158465,0.0396583529686062,0.0396583529686062,0.0,0.080959435414584,0.080959435414584,0.0,0
