mode,k,alpha,gate,used,use_frac,neighbor_dist_med,base_pos_mean,method_pos_mean,base_pos_med,method_pos_med,base_pos_p95,method_pos_p95,pos_impr_mean_pct,pos_impr_med_pct,pos_success_frac,pos_unsafe_frac,base_vel_mean,method_vel_mean,base_vel_med,method_vel_med,base_vel_p95,method_vel_p95,vel_impr_mean_pct,vel_impr_med_pct,vel_success_frac,vel_unsafe_frac,any_unsafe_frac,both_success_frac,pos_ratio_p95,vel_ratio_p95
hybrid26,5,1.0,vr<-0.40,237,0.5511627906976744,2.1543533092658445,0.0256006014762614,0.018049763315149906,0.006870118122986404,0.0033311282184627037,0.09209041027083548,0.08315765584904232,29.4947685823442,51.51279557599979,0.4813953488372093,0.013953488372093023,0.1194582466397035,0.10423664411556338,0.02202055897654521,0.009795739549484029,0.5671814169533762,0.5778379425156239,12.742194827327246,55.51548187347206,0.49534883720930234,0.0069767441860465115,0.01627906976744186,0.4604651162790698,1.057846247546365,1.061044024457866
hybrid26,10,1.0,vr<-0.40,237,0.5511627906976744,2.438456032806942,0.0256006014762614,0.018749651369733084,0.006870118122986404,0.0035864443795690926,0.09209041027083548,0.08095676293176111,26.760895101941173,47.79646702770106,0.5,0.009302325581395349,0.1194582466397035,0.10554048921650586,0.02202055897654521,0.0103528600482839,0.5671814169533762,0.5897869588378712,11.650729702382812,52.9854802536527,0.4930232558139535,0.009302325581395349,0.009302325581395349,0.46744186046511627,1.0012182043124755,1.024033302134575
xrel18,10,1.0,vr<-0.40,237,0.5511627906976744,1.7872060966623877,0.0256006014762614,0.019107175278823618,0.006870118122986404,0.0033734710356095434,0.09209041027083548,0.07820316374989396,25.364350144112525,50.89646240109895,0.5023255813953489,0.013953488372093023,0.1194582466397035,0.1049084242260995,0.02202055897654521,0.010466805844522767,0.5671814169533762,0.580184196179874,12.179839251690627,52.46802837443276,0.5046511627906977,0.011627906976744186,0.013953488372093023,0.4813953488372093,1.0,1.0
xrel18,5,1.0,vr<-0.40,237,0.5511627906976744,1.6110585329736966,0.0256006014762614,0.018345523365974954,0.006870118122986404,0.003306631473393069,0.09209041027083548,0.07820316374989396,28.339483027435275,51.86936506477862,0.49534883720930234,0.013953488372093023,0.1194582466397035,0.10403443273744854,0.02202055897654521,0.010810887752473693,0.5671814169533762,0.6295630027658019,12.911468513994295,50.905479901810345,0.49767441860465117,0.0069767441860465115,0.013953488372093023,0.4720930232558139,1.0249896898404485,1.0157250818899077
xrel18,5,0.75,vr<-0.40,237,0.5511627906976744,1.6110585329736966,0.0256006014762614,0.01970910774239831,0.006870118122986404,0.0034014303865303012,0.09209041027083548,0.08047589101796748,23.01310670112997,50.48949194702175,0.5116279069767442,0.011627906976744186,0.1194582466397035,0.10633649322591782,0.02202055897654521,0.012015910620576609,0.5671814169533762,0.5890284672962156,10.984384739349174,45.43321705241391,0.5093023255813953,0.004651162790697674,0.011627906976744186,0.4906976744186046,1.0,1.0
xrel18,10,0.75,vr<-0.40,237,0.5511627906976744,1.7872060966623877,0.0256006014762614,0.020427526871051146,0.006870118122986404,0.0035245142468401,0.09209041027083548,0.07996691130462116,20.206847913347183,48.69790906436391,0.5162790697674419,0.0069767441860465115,0.1194582466397035,0.10740257607035943,0.02202055897654521,0.012216415181262433,0.5671814169533762,0.5611075912540632,10.091953388287234,44.52268357822105,0.513953488372093,0.0069767441860465115,0.009302325581395349,0.49767441860465117,1.0,1.0
hybrid26,20,1.0,vr<-0.40,237,0.5511627906976744,2.699501591446031,0.0256006014762614,0.01980027527917614,0.006870118122986404,0.004295565086609346,0.09209041027083548,0.08306652469372416,22.656991877568633,37.474654588004576,0.49767441860465117,0.0069767441860465115,0.1194582466397035,0.10696594210102393,0.02202055897654521,0.011328269281925344,0.5671814169533762,0.5676688237105167,10.457465173046987,48.55594131833146,0.5,0.009302325581395349,0.009302325581395349,0.4720930232558139,1.0242393035309325,1.0009271736689804
xrel18,20,1.0,vr<-0.40,237,0.5511627906976744,1.9851629258575794,0.0256006014762614,0.019970959706620446,0.006870118122986404,0.0037261700888872604,0.09209041027083548,0.08099084262511834,21.990271497570614,45.76264887760745,0.4883720930232558,0.018604651162790697,0.1194582466397035,0.10670931461992039,0.02202055897654521,0.011460906402498288,0.5671814169533762,0.5561995894826121,10.672291263603595,47.95360819538841,0.4813953488372093,0.018604651162790697,0.020930232558139535,0.4558139534883721,1.048059140821642,1.0740852713119207
hybrid26,5,0.75,vr<-0.40,237,0.5511627906976744,2.1543533092658445,0.0256006014762614,0.019460066526546974,0.006870118122986404,0.0039695091113288025,0.09209041027083548,0.08315765584904232,23.98590109458304,42.220657050314614,0.4930232558139535,0.002325581395348837,0.1194582466397035,0.10680767964108842,0.02202055897654521,0.012633273073789324,0.5671814169533762,0.568144271305268,10.589948667813864,42.6296440192757,0.5046511627906977,0.0069767441860465115,0.0069767441860465115,0.4697674418604651,1.0143980951778255,1.0
hybrid26,10,0.75,vr<-0.40,237,0.5511627906976744,2.438456032806942,0.0256006014762614,0.02019515815757128,0.006870118122986404,0.004391472591980576,0.09209041027083548,0.08095676293176111,21.114516874544563,36.0786450339572,0.5046511627906977,0.002325581395348837,0.1194582466397035,0.10816671904519155,0.02202055897654521,0.013402237450904155,0.5671814169533762,0.5814959070798464,9.452279697832989,39.137614693708265,0.5069767441860465,0.002325581395348837,0.002325581395348837,0.4813953488372093,1.0,1.0
hybrid26,40,1.0,vr<-0.40,237,0.5511627906976744,3.0099584426507997,0.0256006014762614,0.020871292565863078,0.006870118122986404,0.004604308081195147,0.09209041027083548,0.08436970830148592,18.473428894956445,32.98065624534446,0.5023255813953489,0.011627906976744186,0.1194582466397035,0.10860030032703089,0.02202055897654521,0.01220848319762671,0.5671814169533762,0.5520210780866776,9.089323356152324,44.5587043878843,0.4906976744186046,0.01627906976744186,0.01627906976744186,0.4744186046511628,1.0,1.0066756293998724
xrel18,20,0.75,vr<-0.40,237,0.5511627906976744,1.9851629258575794,0.0256006014762614,0.021167661989799132,0.006870118122986404,0.004149761616896206,0.09209041027083548,0.08317375389375167,17.315763032258392,39.59693934502065,0.5023255813953489,0.011627906976744186,0.1194582466397035,0.10905805552263288,0.02202055897654521,0.012958738621457137,0.5671814169533762,0.5547230809357608,8.706130727364936,41.15163636281941,0.4883720930232558,0.009302325581395349,0.018604651162790697,0.4744186046511628,1.0,1.0348077488388419
hybrid26,20,0.75,vr<-0.40,237,0.5511627906976744,2.699501591446031,0.0256006014762614,0.021081041352503084,0.006870118122986404,0.004787842949040765,0.09209041027083548,0.08391621830843216,17.65411694701453,30.309161162435515,0.5046511627906977,0.002325581395348837,0.1194582466397035,0.10952470790705006,0.02202055897654521,0.013966056616600915,0.5671814169533762,0.5532269516289946,8.315490149971705,36.57719301550609,0.5069767441860465,0.002325581395348837,0.004651162790697674,0.4790697674418605,1.0,1.0
xrel18,5,0.5,vr<-0.40,237,0.5511627906976744,1.6110585329736966,0.0256006014762614,0.02148836313783372,0.006870118122986404,0.004391218298435478,0.09209041027083548,0.08112539879439652,16.063053605364797,36.082346477521135,0.5186046511627908,0.004651162790697674,0.1194582466397035,0.11002792086243475,0.02202055897654521,0.015614332420215576,0.5671814169533762,0.5655935853327487,7.894244259009964,29.09202515319028,0.5162790697674419,0.0,0.004651162790697674,0.5,1.0,1.0
hybrid26,40,0.75,vr<-0.40,237,0.5511627906976744,3.0099584426507997,0.0256006014762614,0.02192754600605574,0.006870118122986404,0.005067152009254438,0.09209041027083548,0.08722153425505265,14.347535832748171,26.24359700162224,0.5093023255813953,0.0069767441860465115,0.1194582466397035,0.11087628112193859,0.02202055897654521,0.014471559600000235,0.5671814169533762,0.5516546996026765,7.184071220841592,34.28159741351548,0.5023255813953489,0.0069767441860465115,0.0069767441860465115,0.48372093023255813,1.0,1.0
xrel18,10,0.5,vr<-0.40,237,0.5511627906976744,1.7872060966623877,0.0256006014762614,0.0220276840824455,0.006870118122986404,0.004533428459099199,0.09209041027083548,0.08315765584904232,13.956380662106504,34.01236517417343,0.5186046511627908,0.004651162790697674,0.1194582466397035,0.11093817928552302,0.02202055897654521,0.015966971197615008,0.5671814169533762,0.5573465924098499,7.132255489968598,27.490618132709834,0.5186046511627908,0.0,0.004651162790697674,0.5023255813953489,1.0,1.0
hybrid26,5,0.75,full,430,1.0,2.1543533092658445,0.0256006014762614,0.018649044021050096,0.006870118122986404,0.003732433050970273,0.09209041027083548,0.07577637940622281,27.153883324410387,45.67148651371653,0.8302325581395349,0.03255813953488372,0.1194582466397035,0.10518560098521408,0.02202055897654521,0.012052903958038746,0.5671814169533762,0.5230379790670647,11.947811102181138,45.26522250921662,0.7790697674418605,0.06279069767441861,0.07209302325581396,0.7186046511627907,1.5995538457253426,2.2216654287473343
xrel18,40,0.75,vr<-0.40,237,0.5511627906976744,2.2179227917402384,0.0256006014762614,0.02200926614461367,0.006870118122986404,0.0045075355253613465,0.09209041027083548,0.08634688614510999,14.02832404144041,34.389257292683276,0.4744186046511628,0.030232558139534883,0.1194582466397035,0.1109308785382809,0.02202055897654521,0.013791845448559678,0.5671814169533762,0.5583005862825156,7.138367037264393,37.36832265134683,0.44883720930232557,0.03255813953488372,0.03953488372093023,0.43953488372093025,1.3157985928370814,1.6236640056458929
hybrid26,5,0.5,vr<-0.40,237,0.5511627906976744,2.1543533092658445,0.0256006014762614,0.021303822597364772,0.006870118122986404,0.004886771046853757,0.09209041027083548,0.08315765584904232,16.78389815520893,28.869184497667653,0.5093023255813953,0.0,0.1194582466397035,0.11047677567896398,0.02202055897654521,0.016881846955893787,0.5671814169533762,0.5671569992678298,7.518502249433157,23.335974468789942,0.5116279069767442,0.002325581395348837,0.002325581395348837,0.4883720930232558,1.0,1.0
xrel18,20,0.5,vr<-0.40,237,0.5511627906976744,1.9851629258575794,0.0256006014762614,0.022549694252365575,0.006870118122986404,0.004865173231842403,0.09209041027083548,0.08651612889711258,11.917326343776846,29.183557767889756,0.5046511627906977,0.002325581395348837,0.1194582466397035,0.11216240333715856,0.02202055897654521,0.016757989140794065,0.5671814169533762,0.5532938556233453,6.107442146334064,23.89843891499972,0.5,0.002325581395348837,0.004651162790697674,0.4790697674418605,1.0,1.002117467715341
xrel18,40,1.0,vr<-0.40,237,0.5511627906976744,2.2179227917402384,0.0256006014762614,0.021032500419691996,0.006870118122986404,0.004279336016791521,0.09209041027083548,0.08391621830843216,17.84372551092307,37.71088152802653,0.4558139534883721,0.037209302325581395,0.1194582466397035,0.1089325341142698,0.02202055897654521,0.013177183800494832,0.5671814169533762,0.5610437197247928,8.811206276265015,40.15963075900905,0.43953488372093025,0.04883720930232558,0.053488372093023255,0.42093023255813955,1.651439892391182,1.9265769848395513
hybrid26,10,0.5,vr<-0.40,237,0.5511627906976744,2.438456032806942,0.0256006014762614,0.021884431189827993,0.006870118122986404,0.005348637803062092,0.09209041027083548,0.08315765584904232,14.515949126739425,22.146348762675018,0.5186046511627908,0.0,0.1194582466397035,0.1115693410962386,0.02202055897654521,0.01710495460311017,0.5671814169533762,0.5547353180927965,6.603902003734019,22.32279561418401,0.5093023255813953,0.0,0.0,0.4906976744186046,1.0,1.0
hybrid26,5,1.0,full,430,1.0,2.1543533092658445,0.0256006014762614,0.017236931422597287,0.006870118122986404,0.0031586350008867203,0.09209041027083548,0.07401455976493719,32.66981856430002,54.02357071098396,0.8023255813953488,0.06976744186046512,0.1194582466397035,0.10327798200396625,0.02202055897654521,0.00988359206818798,0.5671814169533762,0.5278079930320081,13.544702932513609,55.11652506770921,0.7558139534883721,0.08372093023255814,0.11627906976744186,0.6906976744186046,2.227938993750138,2.81095640617283
hybrid26,10,0.75,full,430,1.0,2.438456032806942,0.0256006014762614,0.01951752638341249,0.006870118122986404,0.00421705319740145,0.09209041027083548,0.07535181630755608,23.761453802128617,38.61745719783462,0.8372093023255814,0.02558139534883721,0.1194582466397035,0.10868986525885209,0.02202055897654521,0.013316547379223566,0.5671814169533762,0.5690302397648799,9.014347425782832,39.526751371718404,0.7441860465116279,0.06279069767441861,0.06511627906976744,0.6883720930232559,1.4836091389922845,2.6374746518972962
hybrid26,10,1.0,full,430,1.0,2.438456032806942,0.0256006014762614,0.01806676888632169,0.006870118122986404,0.0036079064241916216,0.09209041027083548,0.07328449949071163,29.42834213065496,47.48407000281265,0.8023255813953488,0.05116279069767442,0.1194582466397035,0.10709643175704353,0.02202055897654521,0.010594959187775099,0.5671814169533762,0.5822764815277538,10.348230641576617,51.886057029432706,0.713953488372093,0.09069767441860466,0.10697674418604651,0.6581395348837209,1.9629633702111537,3.378435760586847
hybrid26,80,1.0,vr<-0.40,237,0.5511627906976744,3.2987614530742686,0.0256006014762614,0.021924342955424097,0.006870118122986404,0.005124746983016654,0.09209041027083548,0.08708419695778304,14.36004745531536,25.405256630595552,0.4511627906976744,0.023255813953488372,0.1194582466397035,0.11034221011280168,0.02202055897654521,0.013523289742968455,0.5671814169533762,0.556346822215304,7.631148776523222,38.587890718975224,0.4325581395348837,0.053488372093023255,0.053488372093023255,0.41627906976744183,1.4240587922114494,2.1047390434818563
hybrid26,20,0.5,vr<-0.40,237,0.5511627906976744,2.699501591446031,0.0256006014762614,0.022508926666856163,0.006870118122986404,0.005740188480772342,0.09209041027083548,0.08566775441465538,12.07657098319368,16.44701913397214,0.5162790697674419,0.0,0.1194582466397035,0.11258256061806192,0.02202055897654521,0.01748213766463573,0.5671814169533762,0.5523743458331465,5.755723204593188,20.60992782582628,0.5162790697674419,0.002325581395348837,0.002325581395348837,0.4930232558139535,1.0,1.0
hybrid26,80,0.75,vr<-0.40,237,0.5511627906976744,3.2987614530742686,0.0256006014762614,0.02274457792414849,0.006870118122986404,0.005459363307521724,0.09209041027083548,0.0873357806698058,11.156079886487069,20.53465151850158,0.4627906976744186,0.013953488372093023,0.1194582466397035,0.11227623246152824,0.02202055897654521,0.015581735581662093,0.5671814169533762,0.5550900893972036,6.0121543553513295,29.240054268110583,0.44651162790697674,0.027906976744186046,0.03255813953488372,0.4325581395348837,1.2558302641463646,1.7472512557536999
xrel18,40,0.5,vr<-0.40,237,0.5511627906976744,2.2179227917402384,0.0256006014762614,0.023123329934452104,0.006870118122986404,0.005388678629761279,0.09209041027083548,0.08763546870286056,9.676614606521605,21.563522878426888,0.4883720930232558,0.004651162790697674,0.1194582466397035,0.11346882428458158,0.02202055897654521,0.017375044577678755,0.5671814169533762,0.5556954260873921,5.013820747919184,21.096260107722685,0.4558139534883721,0.01627906976744186,0.01627906976744186,0.4441860465116279,1.1633882875192583,1.3722489522299468
hybrid26,5,0.5,full,430,1.0,2.1543533092658445,0.0256006014762614,0.0206506938847995,0.006870118122986404,0.004748922419076047,0.09209041027083548,0.08095620978784597,19.335122247232306,30.87568024213656,0.8674418604651163,0.01627906976744186,0.1194582466397035,0.10880632796572888,0.02202055897654521,0.016401466726417128,0.5671814169533762,0.5220315397851801,8.916855029776006,25.517482349622245,0.8116279069767441,0.03488372093023256,0.04186046511627907,0.7627906976744186,1.2674694662987458,1.767225324022514
