rank,index,distance,category_id,category,source_row_idx,r_pair,v_rad_norm,v_tan_norm,min_r_ias,min_r_nonn,relE_nonn,pos_residual_rms,vel_residual_rms,pos_resid_cos_to_event,vel_resid_cos_to_event
1,139,2.3972933503017995,2,recede,4284,0.13620412349700928,0.39118069410324097,0.9155008792877197,0.08350423723459244,0.13620412349700928,0.044357962906360626,0.1630634069442749,2.4581453800201416,0.303307885939837,0.9196474679532132
2,379,2.582710670137365,2,recede,4520,0.0858297273516655,0.8159899115562439,0.9170936942100525,0.0858297273516655,0.0858297273516655,0.00583652826026082,0.08962888270616531,0.3843034505844116,0.47671639598197807,-0.4305849644439192
3,2328,2.6241884069084107,0,strong_approach,6753,0.11749404668807983,-0.9527690410614014,0.8969628214836121,0.06057153269648552,0.11749404668807983,0.04796142503619194,1.0782767534255981,2.146653652191162,0.6204576777254778,0.05172580634161758
4,1628,2.7197581499378853,0,strong_approach,6753,0.11749404668807983,-0.9527690410614014,0.8969628214836121,0.06058215722441673,0.11749404668807983,0.04873273894190788,1.0748445987701416,2.1059443950653076,-0.47002583017277516,-0.859598538283966
5,408,2.915380776161939,2,recede,4635,0.11192627996206284,0.413659006357193,0.8368850350379944,0.054539766162633896,0.10531387478113174,0.04007217288017273,0.06500177085399628,0.6719550490379333,-0.8948777754622289,0.6282101659454408
6,266,2.917148993422921,1,weak_side,4368,0.12044818699359894,-0.08487078547477722,0.7817656397819519,0.054152291268110275,0.10363279283046722,0.028493661433458328,0.11767612397670746,1.6343339681625366,0.4280833098960574,0.15179347164562096
7,1189,2.9332380842166623,2,recede,4284,0.13620412349700928,0.39118069410324097,0.9155008792877197,0.08338234573602676,0.13620412349700928,0.03228747099637985,0.16453862190246582,2.44248366355896,-0.4988272853454383,-0.3220587080638895
8,610,2.974434265605895,1,weak_side,4368,0.12044818699359894,-0.08487078547477722,0.7817656397819519,0.05415176600217819,0.1036326214671135,0.012246545404195786,0.1176745742559433,1.6343324184417725,-0.07747159800506341,0.2872409066517419
9,527,2.9765218633361683,1,weak_side,4725,0.1280537098646164,0.12905137240886688,0.8813632726669312,0.07996571063995361,0.12270595878362656,0.024341415613889694,0.08315464854240417,1.043045163154602,0.564263176611881,0.1078028658126849
10,2022,2.9816389304463016,0,strong_approach,6684,0.11123357713222504,-0.8310720920562744,0.8958015441894531,0.050804026424884796,0.08943791687488556,0.028702253475785255,0.10265529155731201,0.35335642099380493,0.4615642465866023,-0.12557935020069957
11,1706,2.9822848135832714,0,strong_approach,6684,0.11123357713222504,-0.8310720920562744,0.8958015441894531,0.050796061754226685,0.08942538499832153,0.01671605370938778,0.10266239941120148,0.3527822494506836,-0.17840683142877728,-0.429822526447061
12,2107,2.986328452661369,0,strong_approach,6753,0.11749404668807983,-0.9527690410614014,0.8969628214836121,0.0605754591524601,0.11749404668807983,0.04027753695845604,1.0726176500320435,2.101095199584961,-0.7761205474723809,-0.8781932477708562
13,1328,2.9866122950031797,1,weak_side,4685,0.1338503360748291,-0.5775967240333557,0.8805514574050903,0.06698135286569595,0.11872457712888718,0.00562267517670989,0.09116644412279129,1.1274168491363525,0.7954949490299039,-0.8076587919141953
14,676,3.0017410014507098,1,weak_side,4368,0.12044818699359894,-0.08487078547477722,0.7817656397819519,0.0541522316634655,0.103632852435112,0.023903051391243935,0.11767587810754776,1.6343330144882202,0.2401178870648256,-0.14688528201498005
15,785,3.002403930950433,1,weak_side,4368,0.12044818699359894,-0.08487078547477722,0.7817656397819519,0.05415277183055878,0.10363437980413437,0.02294430136680603,0.11767371743917465,1.634351372718811,-0.18954193037289466,-0.38374587641411934
16,824,3.0039198297977903,1,weak_side,4292,0.11929167062044144,-0.10174819082021713,0.8650079965591431,0.07057007402181625,0.09935609251260757,0.0019063673680648208,0.06669782102108002,0.5281162261962891,-0.8649801090696189,-0.5210601643503534
17,1814,3.0091085911087543,0,strong_approach,6684,0.11123357713222504,-0.8310720920562744,0.8958015441894531,0.05080646276473999,0.08944002538919449,0.028936542570590973,0.10280746966600418,0.3545614182949066,-0.37198890316480443,-0.13109051941328798
