rank,index,distance,category_id,category,source_row_idx,r_pair,v_rad_norm,v_tan_norm,min_r_ias,min_r_nonn,relE_nonn,pos_residual_rms,vel_residual_rms,pos_resid_cos_to_event,vel_resid_cos_to_event
1,2468,0.10550159473525154,0,strong_approach,-2,0.13934940099716187,-1.0231415033340454,0.8803852200508118,0.05610613524913788,0.061120182275772095,5.2943134505767375e-05,0.005307442042976618,0.02677479386329651,0.615084382816775,-0.32656597282665456
2,2821,0.1268281562541661,0,strong_approach,-2,0.13948336243629456,-1.0681513547897339,0.9011751413345337,0.057513389736413956,0.0631645917892456,0.0004558656073641032,0.004919629078358412,0.023732421919703484,-0.7303563755961735,-0.8924598100224401
3,2592,0.13421989352525368,0,strong_approach,-2,0.13984698057174683,-1.0569019317626953,0.9020990133285522,0.05804560333490372,0.06296379119157791,6.740743265254423e-05,0.008409442380070686,0.031079838052392006,-0.9938980446528497,-0.9906102934536768
4,2838,0.1503217068251249,0,strong_approach,-2,0.139651820063591,-1.188246488571167,0.9080666303634644,0.05505509674549103,0.06567297130823135,0.019354689866304398,0.01870565302670002,0.0591842457652092,0.9145380107167234,0.4095473095395491
5,2719,0.15142469325763985,0,strong_approach,-2,0.14185689389705658,-1.0939135551452637,0.8984120488166809,0.057347945868968964,0.060140836983919144,0.000515198684297502,0.0029205819591879845,0.01910676807165146,0.9030254640057461,0.9366587431268477
6,2771,0.16710576171148117,0,strong_approach,-2,0.13889433443546295,-0.9183931946754456,0.8637898564338684,0.05655132234096527,0.0616179034113884,5.449996388051659e-05,0.0069346739910542965,0.036047808825969696,-0.1958506630607208,-0.23260379488120295
7,2567,0.16892320675826183,0,strong_approach,-2,0.13728202879428864,-1.0932929515838623,0.9178211688995361,0.057475294917821884,0.060738705098629,0.00034280531690455973,0.003298192285001278,0.01781715638935566,-0.5466678023489556,-0.5637585005193833
8,2543,0.17038949498744171,0,strong_approach,-2,0.13998055458068848,-1.1405119895935059,0.9211590886116028,0.05765736848115921,0.06314443051815033,0.0013729040510952473,0.009602278470993042,0.03170573338866234,0.520167257264439,-0.39933213884596724
9,2749,0.17284355402152074,0,strong_approach,-2,0.14199204742908478,-1.167830467224121,0.9061670303344727,0.05639304220676422,0.06284472346305847,0.0002988131018355489,0.00522408215329051,0.024596121162176132,0.9360409045720495,0.9186101786571944
10,2845,0.17650531705889147,0,strong_approach,-2,0.1425594836473465,-1.0470913648605347,0.8983615636825562,0.05877106264233589,0.06388672441244125,0.00016556662740185857,0.010133283212780952,0.03925115615129471,-0.6702585772557327,-0.9297139601717391
11,2619,0.1778171114278101,0,strong_approach,-2,0.1387138068675995,-0.9111970067024231,0.8720370531082153,0.057831745594739914,0.06537036597728729,0.0008413464529439807,0.007411920931190252,0.035059038549661636,-0.8634910883794792,-0.5082424131768324
