mode,dt,step_dt,step_index,sub_index,t_start,t_end,pair_index,pair,r_start,v_rad_norm,v_tan_norm,c_pred,gate_fallback,strong_approach,v4_rms_before,noNN_rms_before,v4_rms_after_step,noNN_rms_after_step,v4_minus_noNN_after_step,v4_rms_after_0p2yr,noNN_rms_after_0p2yr,v4_minus_noNN_after_0p2yr,v4_rms_after_1p0yr,noNN_rms_after_1p0yr,v4_minus_noNN_after_1p0yr,v4_rms_after_5p0yr,noNN_rms_after_5p0yr,v4_minus_noNN_after_5p0yr
v4,0.04,0.04,838,-1,33.51999999999946,33.55999999999946,2,1-2,0.141066995344936,-1.293352456486644,0.6566479672852827,1.0760516806700144,False,True,0.027618683151002615,0.027618683151002615,0.021670578763769984,0.021647880692996353,2.2698070773631562e-05,0.010378217452326964,0.010541707491020683,-0.00016349003869371888,0.12368282337241637,0.04983996254285852,0.07384286082955785,2.011893229153976,0.9960696578695291,1.015823571284447
v4,0.04,0.04,839,-1,33.55999999999946,33.59999999999946,2,1-2,0.12405704451362641,-1.2459860594188272,0.6968619952458833,1.0949004843016634,False,True,0.027431419333241117,0.02743076719511686,0.021365179080751386,0.02128955617391282,7.562290683856693e-05,0.018438605642707336,0.01896175050425013,-0.0005231448615427951,0.13088234812731095,0.05129519791028257,0.07958715021702838,2.0318936865352173,1.007480405910202,1.0244132806250152
v4,0.04,0.04,840,-1,33.59999999999946,33.63999999999946,2,1-2,0.10649612862601074,-1.2027378540727802,0.7479413026843448,1.1269232718813647,False,True,0.027077867063962962,0.027073325672511528,0.02088798992563019,0.02067270038048461,0.00021528954514557844,0.024507142915876006,0.02333109702388268,0.001176045891993327,0.13835332957940608,0.052816062611569146,0.08553726696783692,2.0519611767644266,1.018920504617343,1.0330406721470835
v4,0.04,0.04,841,-1,33.63999999999946,33.67999999999946,2,1-2,0.08811394435028577,-1.1599905524685272,0.8171851717358523,1.1817568356309005,False,True,0.02648784373063892,0.02647004816212926,0.02015777252132505,0.019550968432309947,0.0006068040890151033,0.02977181901394431,0.02618733156893049,0.0035844874450138182,0.14610881194073683,0.05441045603016448,0.09169835591057235,2.072094219793597,1.0303943544701588,1.0416998653234382
v4,0.04,0.04,842,-1,33.67999999999946,33.71999999999946,2,1-2,0.06859028273908538,-1.109478765282985,0.9204666269903498,1.2631618211019013,False,True,0.025515315168623074,0.02546452333949727,0.018073075633093957,0.01695036242802163,0.001122713205072328,0.034709339779293316,0.02840668146935242,0.006302658309940895,0.15416228932391202,0.056086662082978786,0.09807562724093323,2.0922908719060036,1.041905993471256,1.0503848784347476
v4,0.04,0.04,846,-1,33.83999999999948,33.87999999999948,2,1-2,0.05461535280950804,1.0423751075072436,1.0244869342672158,0.7800987605391692,False,False,0.030240008293546707,0.031923787325940846,0.02977181901394431,0.02618733156893049,0.0035844874450138182,0.05393771706411883,0.03472319289629128,0.019214524167827554,0.1896445911613902,0.0637903745447213,0.1258542166166689,2.1736586390849926,1.0883977043047728,1.0852609347802198
v4,0.04,0.04,847,-1,33.87999999999948,33.919999999999476,2,1-2,0.07645890916102686,1.2695554698578273,0.8609297365659065,0.8306532557263592,False,False,0.03414637573281342,0.03426981769931392,0.034709339779293316,0.02840668146935242,0.006302658309940895,0.05886795439414906,0.036017373757828104,0.022850580636320957,0.19940954371621264,0.06601503470575573,0.1333945090104569,2.194128200517291,1.1001451980770443,1.0939830024402466
v4,0.04,0.04,848,-1,33.919999999999476,33.959999999999475,2,1-2,0.09848291821126168,1.4070128025704067,0.7494764240934001,0.8653299846023712,False,False,0.03790241799235067,0.03594465419662652,0.03951771443188237,0.030261500648684065,0.009256213783198308,0.06390615585939743,0.03726342438491272,0.02664273147448471,0.2095653579856101,0.06838018914471569,0.1411851688408944,2.214640211600101,1.111946363355295,1.102693848244806
v4,0.04,0.04,849,-1,33.959999999999475,33.999999999999474,2,1-2,0.11999341675728936,1.5062982389436854,0.6657654804483092,0.8852881909789697,False,False,0.04170483689155901,0.03735490172986503,0.04429883350908066,0.031886045538091094,0.012412787970989568,0.06907195116904262,0.03847931018120789,0.030592640987834728,0.22012970696865378,0.07089689584000568,0.1492328111286481,2.23518963699797,1.1238023721064627,1.1113872648915073
v4,0.04,0.04,850,-1,33.999999999999474,34.03999999999947,2,1-2,0.14091748175575466,1.5864163956480313,0.5970084956391692,0.8970050974826167,False,False,0.04562015681656972,0.038610105946938554,0.04909155229982965,0.03335709319741645,0.015734459102413202,0.07438217678975197,0.03967917985550823,0.03470299693424374,0.23112087873354534,0.07357640857835589,0.15754447015518946,2.2557710406513594,1.135713961622616,1.1200570790287434
