event,t_start,t_end,r_pair,v_rad_norm,v_tan_norm,min_r_window,pred_pos_norm,pred_vel_norm,relE_corr,used,reason,z1,z2,z3,z4
1,82.5599999999986,83.05999999999858,0.13896512917384254,-1.114827163230736,0.8493189585905352,0.06226251907993296,0.48408075256301064,1.3499346893574495,0.726548993056405,0,energy_gate,0,0,7,14
2,83.05999999999858,83.55999999999857,0.11700123091375701,0.973400453624332,0.9865617830147868,0.11700123091375701,0.22073645095653055,2.1761581920060125,4.265954316320506,0,energy_gate,0,0,1,20
3,95.7999999999983,96.29999999999829,0.14349847949859304,-0.3908336779808749,1.4564833638072021,0.13602631279753913,0.20642764293925145,1.90144483976216,2.371524886742214,0,energy_gate,0,0,3,18
