t_yr,nearest_event_index,relative_to_entry,relative_to_exit,in_training_window,in_physical_window,in_post_to_physical_end,in_post_fixed,pos_noNN_err,pos_encounterNN_err,pos_gain_instant_pct,vel_noNN_err,vel_encounterNN_err,vel_gain_instant_pct
80.57611522304461,1,-1.9838847769539854,-2.483884776953971,0,1,0,0,1.1968589565185757,1.1968589565185757,0.0,1.4774617173001068,1.4774617173001068,0.0
80.59611922384477,1,-1.9638807761538288,-2.4638807761538146,0,1,0,0,1.203208205335218,1.203208205335218,0.0,1.4756383554684844,1.4756383554684844,0.0
80.61612322464494,1,-1.943876775353658,-2.443876775353644,0,1,0,0,1.2095472213053367,1.2095472213053367,0.0,1.4738213386903278,1.4738213386903278,0.0
80.6361272254451,1,-1.9238727745535016,-2.4238727745534874,0,1,0,0,1.2158731401374647,1.2158731401374647,0.0,1.4720106440585061,1.4720106440585061,0.0
80.65613122624525,1,-1.903868773753345,-2.403868773753331,0,1,0,0,1.243933159653137,1.243933159653137,0.0,1.5920201703432602,1.5920201703432602,0.0
80.6761352270454,1,-1.8838647729531885,-2.3838647729531743,0,1,0,0,1.250368346894757,1.250368346894757,0.0,1.5906092633361644,1.5906092633361644,0.0
80.69613922784558,1,-1.8638607721530178,-2.3638607721530036,0,1,0,0,1.2567796414569732,1.2567796414569732,0.0,1.5891915933124057,1.5891915933124057,0.0
80.71614322864573,1,-1.8438567713528613,-2.343856771352847,0,1,0,0,1.263164629433393,1.263164629433393,0.0,1.587767231878634,1.587767231878634,0.0
80.73614722944589,1,-1.8238527705527048,-2.3238527705526906,0,1,0,0,1.2882494186324702,1.2882494186324702,0.0,1.67564384752836,1.67564384752836,0.0
80.75615123024605,1,-1.8038487697525483,-2.303848769752534,0,1,0,0,1.2948752129938748,1.2948752129938748,0.0,1.6749241147872935,1.6749241147872935,0.0
80.77615523104622,1,-1.7838447689523775,-2.2838447689523633,0,1,0,0,1.3014645377175809,1.3014645377175809,0.0,1.6741856858006805,1.6741856858006805,0.0
80.79615923184637,1,-1.763840768152221,-2.263840768152207,0,1,0,0,1.308015355427483,1.308015355427483,0.0,1.6734286723520346,1.6734286723520346,0.0
80.81616323264653,1,-1.7438367673520645,-2.2438367673520503,0,1,0,0,1.3260586110789399,1.3260586110789399,0.0,1.7063775178889322,1.7063775178889322,0.0
80.83616723344669,1,-1.723832766551908,-2.2238327665518938,0,1,0,0,1.3329651022978666,1.3329651022978666,0.0,1.7065662219278532,1.7065662219278532,0.0
80.85617123424686,1,-1.7038287657517373,-2.203828765751723,0,1,0,0,1.3398240105674213,1.3398240105674213,0.0,1.7067268153757755,1.7067268153757755,0.0
80.87617523504701,1,-1.6838247649515807,-2.1838247649515665,0,1,0,0,1.3466336081948695,1.3466336081948695,0.0,1.7068594038811225,1.7068594038811225,0.0
80.89617923584717,1,-1.6638207641514242,-2.16382076415141,0,1,0,0,1.355405431480869,1.355405431480869,0.0,1.682921423428768,1.682921423428768,0.0
80.91618323664733,1,-1.6438167633512677,-2.1438167633512535,0,1,0,0,1.3626350630770647,1.3626350630770647,0.0,1.6840880684268118,1.6840880684268118,0.0
80.9361872374475,1,-1.623812762551097,-2.1238127625510828,0,1,0,0,1.3698077969301414,1.3698077969301414,0.0,1.6852203760531035,1.6852203760531035,0.0
80.95619123824765,1,-1.6038087617509404,-2.1038087617509262,0,1,0,0,1.3769221574991422,1.3769221574991422,0.0,1.686318416483153,1.686318416483153,0.0
80.97619523904781,1,-1.583804760950784,-2.0838047609507697,0,1,0,0,1.37704035232695,1.37704035232695,0.0,1.6240302378036247,1.6240302378036247,0.0
80.99619923984797,1,-1.5638007601506274,-2.063800760150613,0,1,0,0,1.3845851386946886,1.3845851386946886,0.0,1.6261060349520382,1.6261060349520382,0.0
81.01620324064814,1,-1.5437967593504567,-2.0437967593504425,0,1,0,0,1.39206555106401,1.39206555106401,0.0,1.628144081689255,1.628144081689255,0.0
81.0362072414483,1,-1.5237927585503002,-2.023792758550286,0,1,0,0,1.3994803188861582,1.3994803188861582,0.0,1.6301444021176326,1.6301444021176326,0.0
81.05621124224845,1,-1.5037887577501436,-2.0037887577501294,0,1,0,0,1.3929776393085211,1.3929776393085211,0.0,1.55151105030514,1.55151105030514,0.0
81.07621524304861,1,-1.4837847569499871,-1.983784756949973,0,1,0,0,1.4007997160860959,1.4007997160860959,0.0,1.5543642327582499,1.5543642327582499,0.0
81.09621924384878,1,-1.4637807561498164,-1.9637807561498022,0,1,0,0,1.4085515784785076,1.4085515784785076,0.0,1.5571781786949797,1.5571781786949797,0.0
81.11622324464894,1,-1.4437767553496599,-1.9437767553496457,0,1,0,0,1.4162321226863297,1.4162321226863297,0.0,1.559952867757063,1.559952867757063,0.0
81.13622724544909,1,-1.4237727545495034,-1.9237727545494892,0,1,0,0,1.405101083511133,1.405101083511133,0.0,1.4791613227417721,1.4791613227417721,0.0
81.15623124624925,1,-1.4037687537493468,-1.9037687537493326,0,1,0,0,1.4131523027993655,1.4131523027993655,0.0,1.4826585141073427,1.4826585141073427,0.0
81.17623524704942,1,-1.3837647529491761,-1.883764752949162,0,1,0,0,1.4211288235195703,1.4211288235195703,0.0,1.4861161214992775,1.4861161214992775,0.0
81.19623924784958,1,-1.3637607521490196,-1.8637607521490054,0,1,0,0,1.429029677116892,1.429029677116892,0.0,1.4895340861840423,1.4895340861840423,0.0
81.21624324864973,1,-1.343756751348863,-1.8437567513488489,0,1,0,0,1.414739140968324,1.414739140968324,0.0,1.4130266376106235,1.4130266376106235,0.0
81.23624724944989,1,-1.3237527505487066,-1.8237527505486923,0,1,0,0,1.422971854627585,1.422971854627585,0.0,1.4170569549008305,1.4170569549008305,0.0
81.25625125025006,1,-1.3037487497485358,-1.8037487497485216,0,1,0,0,1.4311264790662792,1.4311264790662792,0.0,1.421047970837738,1.421047970837738,0.0
81.27625525105022,1,-1.2837447489483793,-1.783744748948365,0,1,0,0,1.4392021545437221,1.4392021545437221,0.0,1.4249995944038985,1.4249995944038985,0.0
81.29625925185037,1,-1.2637407481482228,-1.7637407481482086,0,1,0,0,1.4227263304326905,1.4227263304326905,0.0,1.3548569123542762,1.3548569123542762,0.0
81.31626325265053,1,-1.2437367473480663,-1.743736747348052,0,1,0,0,1.431097790905191,1.431097790905191,0.0,1.3593347716517263,1.3593347716517263,0.0
81.3362672534507,1,-1.2237327465478955,-1.7237327465478813,0,1,0,0,1.4393886459214955,1.4393886459214955,0.0,1.3637739529547583,1.3637739529547583,0.0
81.35627125425086,1,-1.203728745747739,-1.7037287457477248,0,1,0,0,1.4475981221262684,1.4475981221262684,0.0,1.368174337424137,1.368174337424137,0.0
81.37627525505101,1,-1.1837247449475825,-1.6837247449475683,0,1,0,0,1.4295588213967207,1.4295588213967207,0.0,1.3045476858043699,1.3045476858043699,0.0
81.39627925585117,1,-1.163720744147426,-1.6637207441474118,0,1,0,0,1.4380323924095868,1.4380323924095868,0.0,1.3094087260472682,1.3094087260472682,0.0
81.41628325665134,1,-1.1437167433472553,-1.643716743347241,0,1,0,0,1.4464235400320065,1.4464235400320065,0.0,1.3142318931481574,1.3142318931481574,0.0
81.4362872574515,1,-1.1237127425470987,-1.6237127425470845,0,1,0,0,1.4547315581540563,1.4547315581540563,0.0,1.3190170430001371,1.3190170430001371,0.0
81.45629125825165,1,-1.1037087417469422,-1.603708741746928,0,1,0,0,1.4355214737904063,1.4355214737904063,0.0,1.261340643167982,1.261340643167982,0.0
81.47629525905181,1,-1.0837047409467857,-1.5837047409467715,0,1,0,0,1.4440664956539255,1.4440664956539255,0.0,1.266536789254226,1.266536789254226,0.0
81.49629925985198,1,-1.063700740146615,-1.5637007401466008,0,1,0,0,1.4525278340751562,1.4525278340751562,0.0,1.2716959594873418,1.2716959594873418,0.0
81.51630326065214,1,-1.0436967393464585,-1.5436967393464442,0,1,0,0,1.4609048338113104,1.4609048338113104,0.0,1.2768179853262465,1.2768179853262465,0.0
81.5363072614523,1,-1.023692738546302,-1.5236927385462877,0,1,0,0,1.440772191397586,1.440772191397586,0.0,1.2243313102015438,1.2243313102015438,0.0
81.55631126225245,1,-1.0036887377461454,-1.5036887377461312,0,1,0,0,1.449363363002032,1.449363363002032,0.0,1.2298266632542703,1.2298266632542703,0.0
81.57631526305262,1,-0.9836847369459747,-1.4836847369459605,0,1,0,0,1.457870036836025,1.457870036836025,0.0,1.2352859777985568,1.2352859777985568,0.0
81.59631926385278,1,-0.9636807361458182,-1.463680736145804,0,1,0,0,1.4662915944773922,1.4662915944773922,0.0,1.2407090602486535,1.2407090602486535,0.0
81.61632326465293,1,-0.9436767353456617,-1.4436767353456474,0,1,0,0,1.4453942506102382,1.4453942506102382,0.0,1.1926617339112773,1.1926617339112773,0.0
81.63632726545309,1,-0.9236727345455051,-1.423672734545491,0,1,0,0,1.4540108958136193,1.4540108958136193,0.0,1.198429484255173,1.198429484255173,0.0
81.65633126625326,1,-0.9036687337453344,-1.4036687337453202,0,1,0,0,1.462542584653553,1.462542584653553,0.0,1.2041621399858136,1.2041621399858136,0.0
81.67633526705342,1,-0.8836647329451779,-1.3836647329451637,0,1,0,0,1.4709887234442018,1.4709887234442018,0.0,1.2098594806526743,1.2098594806526743,0.0
81.69633926785357,1,-0.8636607321450214,-1.3636607321450072,0,1,0,0,1.449428062521528,1.449428062521528,0.0,1.1655817534737756,1.1655817534737756,0.0
