scope,event_index,t_start,t_end,duration_years,n_samples,pos_noNN_timeavg,pos_encounterNN_timeavg,pos_gain_pct,vel_noNN_timeavg,vel_encounterNN_timeavg,vel_gain_pct,pos_noNN_median,pos_encounterNN_median,vel_noNN_median,vel_encounterNN_median,pos_noNN_p95,pos_encounterNN_p95,vel_noNN_p95,vel_encounterNN_p95,first_sample_t,last_sample_t,interpretation_hint
event_training_window_entry_to_exit,1,82.5599999999986,83.05999999999858,0.4999999999999858,25,1.4704721940346919,1.4716337669660011,-0.0789931925283211,1.111454280893909,1.112515614944966,-0.09549057206414446,1.4697680592778606,1.4711038923558954,1.1170712873639561,1.1170712873639561,1.4844433030103472,1.4844433030103472,1.151598977287207,1.1541355095553791,82.57651530306062,83.05661132226446,positive gain means EncounterNN is closer to IAS15 than SIMON-noNN in this window
event_exit_nearest_sample,1,83.05661132226446,83.05661132226446,0.0,1,1.4485164176521874,1.4777132936877395,-2.0156399803100298,1.128597344255234,1.1544441692582859,-2.290172410436455,1.4485164176521874,1.4777132936877395,1.128597344255234,1.1544441692582859,1.4485164176521874,1.4777132936877395,1.128597344255234,1.1544441692582859,83.05661132226446,83.05661132226446,"nearest sampled trajectory point to the requested instant; use as an exit-state proxy, not an exact IAS15 dense-output event metric"
event_physical_window_entry_centered,1,80.5599999999986,84.5599999999986,4.0,200,1.4147106930436446,1.413320452751775,0.09827028937474963,1.2547144032398279,1.2559845287786306,-0.10122825844057975,1.4343810378808446,1.4351053306038715,1.1818591719239282,1.1833162363790313,1.4838244498689919,1.4838244498689919,1.674222607250011,1.674222607250011,80.57611522304461,84.55691138227645,positive gain means EncounterNN is closer to IAS15 than SIMON-noNN in this window
event_post_correction_to_physical_end,1,83.05999999999858,84.5599999999986,1.5000000000000142,75,1.3848744678706169,1.3806714866168157,0.30349185802115664,1.1982841931820385,1.2014998780109831,-0.2683574436883286,1.3796840466365634,1.3805551087112897,1.193375209416068,1.1954111470386637,1.4576184282160005,1.4527228914424501,1.266974263136085,1.2693577273619747,83.07661532306462,84.55691138227645,positive gain means EncounterNN is closer to IAS15 than SIMON-noNN in this window
event_post_correction_fixed_steps,1,83.05999999999858,85.05999999999858,2.0,100,1.3635631652031937,1.3607096201316529,0.2092712053508398,1.2179749710456123,1.2208070557019348,-0.23252404389650672,1.3538543167886705,1.3516447165045609,1.2211334349662333,1.223958607256431,1.4567508547869503,1.4524797281157442,1.2883155243114246,1.2891294512412403,83.07661532306462,85.05701140228047,positive gain means EncounterNN is closer to IAS15 than SIMON-noNN in this window
ALL_training_window_entry_to_exit_union,ALL_USED,82.5599999999986,83.05999999999858,0.4999999999999858,25,1.4704721940346919,1.4716337669660011,-0.0789931925283211,1.111454280893909,1.112515614944966,-0.09549057206414446,1.4697680592778606,1.4711038923558954,1.1170712873639561,1.1170712873639561,1.4844433030103472,1.4844433030103472,1.151598977287207,1.1541355095553791,82.57651530306062,83.05661132226446,merged union of all used EncounterNN windows; positive gain means EncounterNN is closer to IAS15 than SIMON-noNN
ALL_physical_window_entry_centered_union,ALL_USED,80.5599999999986,84.5599999999986,4.0,200,1.4147106930436446,1.413320452751775,0.09827028937474963,1.2547144032398279,1.2559845287786306,-0.10122825844057975,1.4343810378808446,1.4351053306038715,1.1818591719239282,1.1833162363790313,1.4838244498689919,1.4838244498689919,1.674222607250011,1.674222607250011,80.57611522304461,84.55691138227645,merged union of all used EncounterNN windows; positive gain means EncounterNN is closer to IAS15 than SIMON-noNN
ALL_post_correction_to_physical_end_union,ALL_USED,83.05999999999858,84.5599999999986,1.5000000000000142,75,1.3848744678706169,1.3806714866168157,0.30349185802115664,1.1982841931820385,1.2014998780109831,-0.2683574436883286,1.3796840466365634,1.3805551087112897,1.193375209416068,1.1954111470386637,1.4576184282160005,1.4527228914424501,1.266974263136085,1.2693577273619747,83.07661532306462,84.55691138227645,merged union of all used EncounterNN windows; positive gain means EncounterNN is closer to IAS15 than SIMON-noNN
ALL_post_correction_fixed_steps_union,ALL_USED,83.05999999999858,85.05999999999858,2.0,100,1.3635631652031937,1.3607096201316529,0.2092712053508398,1.2179749710456123,1.2208070557019348,-0.23252404389650672,1.3538543167886705,1.3516447165045609,1.2211334349662333,1.223958607256431,1.4567508547869503,1.4524797281157442,1.2883155243114246,1.2891294512412403,83.07661532306462,85.05701140228047,merged union of all used EncounterNN windows; positive gain means EncounterNN is closer to IAS15 than SIMON-noNN
