method,pos_final,pos_timeavg,vel_final,vel_timeavg,time_sec,speedup,relE,fine_steps,pos_final_gain_pct,pos_timeavg_gain_pct
noNN,1.623559e+00,9.890699e-01,1.182586e+00,8.650211e-01,0.077012,1.9473,4.4929e-04,,+0.000,+0.000
EncounterNN,1.430946e+00,1.007985e+00,6.392444e-01,8.363281e-01,0.075086,1.9973,1.6973e-06,1,+11.864,-1.912
finer-Zone3-k2,1.752020e+00,1.006652e+00,1.202046e+00,8.726850e-01,0.068873,2.1775,4.9975e-03,3,-7.912,-1.778
finer-Zone3-k4,1.757532e+00,1.002976e+00,1.235953e+00,8.762062e-01,0.066760,2.2464,6.4462e-03,3,-8.252,-1.406
