method,pos_final,pos_timeavg,vel_final,vel_timeavg,time_sec,speedup,relE,fine_steps,pos_final_gain_pct,pos_timeavg_gain_pct
noNN,1.537100e+00,1.486906e+00,1.045236e+00,9.300987e-01,0.088994,1.6688,1.4972e-04,,+0.000,+0.000
EncounterNN,1.684546e+00,1.401660e+00,1.284001e+00,8.635406e-01,0.092717,1.6018,9.8873e-04,1,-9.592,+5.733
finer-Zone3-k2,1.477848e+00,1.487115e+00,1.018969e+00,9.279471e-01,0.087954,1.6886,8.0311e-04,4,+3.855,-0.014
finer-Zone3-k4,1.451366e+00,1.486163e+00,1.011371e+00,9.266813e-01,0.086529,1.7164,9.6947e-04,4,+5.578,+0.050
