rank,index,distance,category_id,category,source_row_idx,r_pair,v_rad_norm,v_tan_norm,min_r_ias,min_r_nonn,relE_nonn,pos_residual_rms,vel_residual_rms,pos_resid_cos_to_event,vel_resid_cos_to_event
1,2468,0.08423409449952747,0,strong_approach,-2,0.13934940099716187,-1.0231415033340454,0.8803852200508118,0.05610613524913788,0.061120182275772095,5.2943134505767375e-05,0.005307442042976618,0.02677479386329651,0.615084382816775,-0.32656597282665456
2,2821,0.1035527956693589,0,strong_approach,-2,0.13948336243629456,-1.0681513547897339,0.9011751413345337,0.057513389736413956,0.0631645917892456,0.0004558656073641032,0.004919629078358412,0.023732421919703484,-0.7303563755961735,-0.8924598100224401
3,2592,0.11108712380145465,0,strong_approach,-2,0.13984698057174683,-1.0569019317626953,0.9020990133285522,0.05804560333490372,0.06296379119157791,6.740743265254423e-05,0.008409442380070686,0.031079838052392006,-0.9938980446528497,-0.9906102934536768
4,2719,0.1253822152797347,0,strong_approach,-2,0.14185689389705658,-1.0939135551452637,0.8984120488166809,0.057347945868968964,0.060140836983919144,0.000515198684297502,0.0029205819591879845,0.01910676807165146,0.9030254640057461,0.9366587431268477
5,2838,0.13001497663372716,0,strong_approach,-2,0.139651820063591,-1.188246488571167,0.9080666303634644,0.05505509674549103,0.06567297130823135,0.019354689866304398,0.01870565302670002,0.0591842457652092,0.9145380107167234,0.4095473095395491
6,2771,0.1306495885985397,0,strong_approach,-2,0.13889433443546295,-0.9183931946754456,0.8637898564338684,0.05655132234096527,0.0616179034113884,5.449996388051659e-05,0.0069346739910542965,0.036047808825969696,-0.1958506630607208,-0.23260379488120295
7,2749,0.1347401264901899,0,strong_approach,-2,0.14199204742908478,-1.167830467224121,0.9061670303344727,0.05639304220676422,0.06284472346305847,0.0002988131018355489,0.00522408215329051,0.024596121162176132,0.9360409045720495,0.9186101786571944
8,2567,0.13631507181242192,0,strong_approach,-2,0.13728202879428864,-1.0932929515838623,0.9178211688995361,0.057475294917821884,0.060738705098629,0.00034280531690455973,0.003298192285001278,0.01781715638935566,-0.5466678023489556,-0.5637585005193833
9,2543,0.13644261286657233,0,strong_approach,-2,0.13998055458068848,-1.1405119895935059,0.9211590886116028,0.05765736848115921,0.06314443051815033,0.0013729040510952473,0.009602278470993042,0.03170573338866234,0.520167257264439,-0.39933213884596724
10,2854,0.1456072786906354,0,strong_approach,-2,0.13699914515018463,-0.9256042838096619,0.8753427863121033,0.056943379342556,0.06038997694849968,0.0007463899091817439,0.003947567194700241,0.024240486323833466,0.19373217387494293,0.1900810216388399
11,2845,0.14763396061540415,0,strong_approach,-2,0.1425594836473465,-1.0470913648605347,0.8983615636825562,0.05877106264233589,0.06388672441244125,0.00016556662740185857,0.010133283212780952,0.03925115615129471,-0.6702585772557327,-0.9297139601717391
12,2765,0.14925023697697445,0,strong_approach,-2,0.1355566531419754,-0.9369561076164246,0.8649097681045532,0.05500587075948715,0.062393058091402054,0.0035996888764202595,0.013273440301418304,0.04258424788713455,-0.8265007293936978,-0.851550684891625
13,2520,0.14982597096752523,0,strong_approach,-2,0.13515448570251465,-1.0022046566009521,0.8946593403816223,0.05638633295893669,0.061361294239759445,0.0007844167994335294,0.00947684794664383,0.03788452968001366,0.8914746253549746,0.7715386721070644
14,2619,0.1511146905167198,0,strong_approach,-2,0.1387138068675995,-0.9111970067024231,0.8720370531082153,0.057831745594739914,0.06537036597728729,0.0008413464529439807,0.007411920931190252,0.035059038549661636,-0.8634910883794792,-0.5082424131768324
15,2626,0.15197427419885853,0,strong_approach,-2,0.1444154679775238,-1.06649649143219,0.864006519317627,0.0554230660200119,0.06102113425731659,0.0017398474738001823,0.010975280776619911,0.04671149328351021,0.8691408732637405,0.8893598029209818
16,2500,0.1536999394635764,0,strong_approach,-2,0.1350630223751068,-0.9834784865379333,0.8902231454849243,0.056634142994880676,0.06162510812282562,0.001758253900334239,0.007742778398096561,0.03271220251917839,-0.6902683292944556,-0.8435384749029573
17,2741,0.1564368625065346,0,strong_approach,-2,0.1356040984392166,-0.9511235356330872,0.8770948648452759,0.055912695825099945,0.05907585471868515,0.0021304937545210123,0.002300485735759139,0.018659336492419243,0.5819050866181712,0.9875847459688714
18,2686,0.16270868187739349,0,strong_approach,-2,0.13700644671916962,-0.9925711154937744,0.9085990786552429,0.05924392491579056,0.06565222889184952,0.0003012200759258121,0.0051969015039503574,0.024733293801546097,0.8747322205015838,0.09691321018002848
19,2829,0.16308056048154276,0,strong_approach,-2,0.13869285583496094,-1.1627882719039917,0.9360978603363037,0.05798901990056038,0.06330124288797379,0.0015522502362728119,0.004307853523641825,0.019736334681510925,-0.5155007571641992,0.3540891561355678
20,2805,0.16819930681625636,0,strong_approach,-2,0.1347702145576477,-1.1058374643325806,0.9173892140388489,0.056054580956697464,0.06033337861299515,0.0017951512709259987,0.006080253981053829,0.02504967525601387,-0.9560527568537524,-0.6101026896744327
21,2712,0.16945706599954571,0,strong_approach,-2,0.14126263558864594,-1.0568978786468506,0.9199696183204651,0.06041420251131058,0.0650678277015686,0.00022341712610796094,0.007917329668998718,0.02911156788468361,0.9141769977514633,0.9050068924919651
22,2399,0.18195863622776465,0,strong_approach,-2,0.13816602528095245,-1.0491843223571777,0.9302147030830383,0.06042218208312988,0.06627953797578812,0.00028648352599702775,0.004304775036871433,0.020592978224158287,-0.7337129898099055,0.10299382616117317
