step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step
838,0,33.51999999999946,0.04,1,2,0.14106525109755128,-1.2933559390960279,0.6566128043907574,0.01,0.005,1.1027936822581568,1.0000067841300875,False,True,1
839,0,33.55999999999946,0.04,1,2,0.12403902229083102,-1.248580235293816,0.6968728444125015,0.01,0.005,1.1116638293451024,1.0000087744061847,False,True,1
840,0,33.59999999999946,0.04,1,2,0.1064277753034948,-1.2069471815524364,0.7481420797196922,0.01,0.005,1.1340956066362964,1.0000119185840395,False,True,1
841,0,33.63999999999946,0.04,1,2,0.08796938093426851,-1.1644853341509642,0.8178211765601785,0.01,0.005,1.184857405817509,1.0000174450396049,False,True,1
842,0,33.67999999999946,0.04,1,2,0.06835374067123212,-1.1132488732167543,0.9220365130242586,0.01,0.005,1.3031404991184974,1.0000288942407531,False,True,1
846,0,33.839999999999456,0.04,1,2,0.05538766725736768,1.0604041693917479,1.0173078313053985,0.01,0.005,0.7915826424290273,1.000044005889579,False,False,1
847,0,33.879999999999455,0.04,1,2,0.07737187741562981,1.2811700140211029,0.8556497598949219,0.01,0.005,0.8345014089891911,1.0000225511726886,False,False,1
848,0,33.919999999999455,0.04,1,2,0.09945981884039981,1.4172267381648789,0.745418689628613,0.01,0.005,0.8670583412392878,1.0000136470702952,False,False,1
849,0,33.959999999999454,0.04,1,2,0.12102367720574436,1.5164451494767237,0.6623578674823618,0.01,0.005,0.88139928782079,1.0000092170882706,False,False,1
850,0,33.99999999999945,0.04,1,2,0.14200804710025694,1.5975534307708879,0.5939200984083853,0.01,0.005,0.8788076327002614,1.0000066943488932,False,False,1
1836,0,73.44000000000028,0.04,1,2,0.1349198671411857,-1.509067453300906,0.8633934461963362,0.01,0.005,1.1386140402059377,1.0000074162181396,False,True,1
1837,0,73.48000000000029,0.04,1,2,0.11461469087766464,-1.4271916730308951,0.9538569745438092,0.01,0.005,1.1500744307056254,1.0000102767061243,False,True,1
1838,0,73.5200000000003,0.04,1,2,0.0939434373931522,-1.3110535584275416,1.067574111184489,0.01,0.005,1.165622908650678,1.0000152968490736,False,True,1
1839,0,73.5600000000003,0.04,1,2,0.0734514678795516,-1.1310326893594973,1.2178712766325763,0.01,0.005,1.1915355120721998,1.0000250227260388,False,True,1
1840,0,73.6000000000003,0.04,1,2,0.055024749377518944,-0.8096362574823031,1.4131335676536865,0.01,0.005,1.1232419419515771,1.0000445882933344,False,True,1
1842,0,73.68000000000032,0.04,1,2,0.050827655816540904,0.6149916899667411,1.4671410514616932,0.01,0.005,0.7975399817243309,1.0000522561476364,False,False,1
1843,0,73.72000000000033,0.04,1,2,0.06834372709102023,1.1352692343972788,1.2634148770337836,0.01,0.005,0.8093936265940462,1.0000289027084623,False,False,1
1844,0,73.76000000000033,0.04,1,2,0.09063881491158193,1.439933892171042,1.0990725963216676,0.01,0.005,0.8398321469589672,1.0000164326089656,False,False,1
1845,0,73.80000000000034,0.04,1,2,0.11420392952589695,1.6459356242000085,0.9857576168645085,0.01,0.005,0.8620392273960922,1.0000103507643887,False,False,1
1846,0,73.84000000000034,0.04,1,2,0.1379656407510083,1.803257834767488,0.9084324256820301,0.01,0.005,0.866167424877081,1.000007092386546,False,False,1
