anchor_time,r_pair,v_rad_norm,v_tan_norm,min_r_ias,min_r_nonn,pos_residual_rms,vel_residual_rms,pos_pert_norm,vel_pert_norm,radial_pert,tangential_pert
82.7,0.08240109354129287,-0.7870612602137045,1.1586767665696327,0.05647621112444436,0.06289234095819508,0.010458770587492627,0.024129652438193133,0.000525767881076376,0.0017281270702275394,-0.00015903725220137383,-0.0011301549490599285
82.66,0.08328186253364836,-0.7926538223540922,1.1646278989348726,0.05723297139273635,0.06365762386658019,0.010012175972750514,0.023247469096985097,0.00044034354253143107,0.0025617397177776623,0.0005382426963379041,-0.0006106981792767961
82.72,0.08180603182396183,-0.8012605998457603,1.1521657463461987,0.05528966582700182,0.06184979300242354,0.011093817871447764,0.025298048800177757,0.00024485067932703014,0.0020631144760069288,-0.0003208294139394856,-0.0010344854007410633
82.6,0.10878501762533746,-0.9981813630829866,0.9754019567386695,0.05433700183678643,0.06101676790377327,0.008784835071099194,0.026533577045028945,0.0004815094768132897,0.0018696408323350961,-0.00040119915901024435,0.0019600788043078075
82.72,0.0818598581691381,-0.8031401201160144,1.1476053863216231,0.055026890351547335,0.06174934026788133,0.011216295145412563,0.025542944215363923,0.0004930736860421375,0.0021200668575989553,0.00015106453769567373,-0.0009234167998772716
82.6,0.11011996094180447,-1.0041300049374882,0.9883312267096058,0.05598599427414216,0.062571717604682,0.007987824179410455,0.024355037348612833,0.00033909574411095724,0.002386209018459924,0.0004668096565826879,0.0013520187461612987
82.6,0.11055369431475441,-0.9995575675232045,1.00419018931692,0.05766609139089675,0.0639124867412849,0.007319207656362844,0.022453373475954223,0.0004633655486521905,0.0018061592973959459,3.925308642769433e-06,0.0014109758462825665
82.58,0.11002493336955989,-0.998227862046803,0.981212724461805,0.055516001139851605,0.062352632548276644,0.00819339860389429,0.02503179342774969,0.00032882998601051265,0.0021046426204014324,-5.738300274260053e-07,0.0009842140331338294
82.66,0.0824696658635538,-0.7967577466439469,1.1593291021038814,0.05626059305306995,0.06271087532274229,0.01054351236350561,0.024242836229980216,0.0003245484158263198,0.0015610797226484202,0.0007486900318070477,-0.0005558971535368209
82.66,0.08257513246736496,-0.7972091242504857,1.159644252747709,0.0563399266612849,0.06280040559338483,0.01049564265072728,0.024152215524237037,0.00046022707310105804,0.001537092064591254,0.0005485942183261319,0.0023468856803392827
82.64,0.08256270259592335,-0.8144221343326092,1.1438273289801022,0.054956399038847976,0.06199520808908628,0.011142278821973441,0.02536286987557749,0.0004289886222146882,0.002664348803783106,5.363055560238706e-06,-0.0029747000526655037
82.66,0.08220802129717925,-0.8016236448804024,1.1497689788632115,0.055417936621154136,0.06214338068800963,0.010968812849754159,0.02506710979507372,0.0004757367623722482,0.001583926578380487,1.0858208188089858e-05,-0.001592861886952792
82.54,0.13938654660346309,-1.1177051326809813,0.8284140358231714,0.05365968018306905,0.06090796830020329,0.007020616031999492,0.0319837062637269,0.00037380251299428205,0.0018423446692056118,1.513228922549992e-05,-0.0021685482006049985
82.64,0.08236102006282774,-0.7992466961710075,1.1480044607094733,0.05550669841097661,0.06230612419176205,0.010906389405568562,0.02496117889046421,0.0002580489400792957,0.0018339579583160754,-9.340338349182765e-05,6.871835322143257e-05
82.58,0.11073716508354252,-1.0145459753941461,0.9896193307768034,0.05614504210696089,0.06276079925979569,0.007890091891190585,0.02407978697575099,0.0005742868879179827,0.0015782016669647389,0.00024012872459490357,0.00306443671935106
82.54,0.1384833829360797,-1.1132790378959523,0.8430151468553864,0.05482462193810415,0.06144819560427249,0.006591787078384861,0.029842159380423887,0.00033354073268340874,0.0023873242133797164,-0.0003478183822235719,0.0005487261499370073
82.68,0.0825148440963619,-0.8083196691423286,1.1489630451914696,0.05538903854744596,0.062224635097966254,0.010941816258517582,0.024989578294277115,0.0004641851502308976,0.0010591001738297038,1.5726129573890305e-05,-0.0006967167902162427
82.62,0.10954565100953684,-0.989902954684881,0.9921571117128775,0.05637607821427488,0.06282249323658266,0.007861188564388872,0.024001239107770495,0.0004116077834870948,0.0025774313302127836,-0.0001603944438416808,-0.00133331295052256
82.52,0.13826464925212603,-1.1145496993068236,0.8663433011751949,0.057065640954971526,0.06299519548400677,0.005839840561939928,0.026317799058717856,0.00037453243170553266,0.002204156168609641,-0.00018413321319377533,0.002208250705119605
82.7,0.08236287111475075,-0.8080504335147981,1.1412471622919387,0.054877881141087916,0.06193045519376723,0.011211788388585496,0.025528390218070008,0.000534120918542076,0.0015572021654087784,0.0005783646650457105,-0.0012652356561941504
82.48,0.13935671463284313,-1.1059894542957536,0.854947068701359,0.05674617396667955,0.06343027997236836,0.0059126081734127,0.02729506139290944,0.00033468643228920313,0.002407010207908666,0.0003996125176256197,0.00233390436742626
82.48,0.1386081477999189,-1.1095707013725142,0.8661542397479564,0.057408697198113,0.06348939586779878,0.005732715421677102,0.0260733440426914,0.0003726803900147955,0.0023116079464715112,-0.0001316147894961321,0.001899050282478576
82.6,0.11002575852894438,-1.0056286823102663,0.9969774876597395,0.05659198404184331,0.0628749867547197,0.007744831283182221,0.023562882816371276,0.0002637191296367841,0.0013201812849839554,0.0006124930748240561,0.003293646953418574
82.58,0.1087453354982954,-0.9918227102578777,0.9774184932870038,0.05465562830068669,0.0613278596184913,0.008639179284270463,0.02615616064107269,0.000581192993541789,0.001800322673757588,9.619231851647268e-05,0.0003781396247855515
82.5,0.13826234256874945,-1.0940879529589431,0.846945700250837,0.05569001405763602,0.06243421985936097,0.006302613562543922,0.028930648673974366,0.0003558559840036372,0.0030889241077137024,-0.00020989672812270956,-0.0010071492767449312
82.5,0.137826232928749,-1.1146760663119635,0.8448322281492782,0.054616294718670945,0.060979273418729295,0.006677846877118823,0.029939215907896246,0.00048374218687213675,0.0016825221526575666,-0.00031359518465605136,0.0006990290789606602
82.56,0.1091274044248379,-1.0028198791338399,0.974692504397094,0.05432905753820239,0.06108936011170352,0.00876883817987602,0.026512945087065858,0.0002698091410642045,0.001589505717915787,-0.0007703473858147744,-0.0022785979527297157
82.64,0.08209102788533382,-0.7804151362478132,1.1591898922445447,0.056492313759856826,0.06280295069103059,0.010497204513488673,0.024229996082733452,0.00046319206364913524,0.002496736250102805,-0.00036793489757700994,-0.0015505153411126305
82.48,0.13789980388148967,-1.1064638382279763,0.8548672621399432,0.0559375495923579,0.06217487948947388,0.0062161053544272015,0.0280768348714696,0.0005515456108878688,0.002613547488654426,-5.187848669383964e-05,0.0032107909578229423
82.52,0.1382273780204824,-1.0988121139108666,0.8485211411947564,0.05568491285012677,0.062309368419477006,0.006303241151791901,0.02880540213881979,0.0004801655774615045,0.001926552790407053,-9.520282128623294e-05,0.0006461943671800767
82.7,0.082148282912275,-0.7901324998581662,1.1483117459130396,0.055651731048764676,0.06236315420466148,0.010868168869175987,0.024934153424662524,0.00015293558544148285,0.0018571705517076004,0.00013901538479053354,-0.0002841520746308831
82.56,0.11069176068868655,-1.0105100826321003,0.9839363629188537,0.05575967866742461,0.06258678785891018,0.008052470562049292,0.024610779608283992,0.0004912305372507587,0.0018202095373585278,0.0004715314156935021,-0.0021519944249721477
82.48,0.1390430672301831,-1.111082836315001,0.8422203294006668,0.05511984234046789,0.0619604909261792,0.006479278664731697,0.02961300269197805,0.00033515776180956,0.0015541848962611399,-0.0005237655680054227,-0.0003782520519137192
82.66,0.08213537270557503,-0.7969706369193114,1.1525437918606891,0.055662602001649575,0.06226251907993307,0.010866367721220495,0.02488105367519172,0.0,0.0,0.0,0.0
82.66,0.08237792213626693,-0.804129912911884,1.1441994605638914,0.05516041906819969,0.06210938587993419,0.011067480853786435,0.025261787158799565,0.0005280435385664584,0.0020203411442073385,0.0005198105768513254,-0.001365176866985799
82.72,0.0821002127355243,-0.7886617983745082,1.1449952938107018,0.05548175719186533,0.062287331307944664,0.010951941543252785,0.025109637212385395,0.00034973286011692593,0.0018947018573618024,0.00025766040691825896,-0.00040489708586547004
82.6,0.10964430765027232,-1.0100552796927456,0.9764070830298774,0.05456217402246731,0.06133837233691311,0.008633519285145193,0.026138594424245837,0.00029695149005285067,0.0017483898494580377,-0.0002529879001943768,0.0015734332398788344
82.56,0.10952977315933901,-1.0067697883637126,0.9758374326361322,0.05453562472500264,0.061333050806792244,0.008651825049668509,0.026206974162911907,0.0004749256173186503,0.0017298674470897963,-0.00024367022461547466,-0.0006335445432729825
82.5,0.13847915187360182,-1.1023548149976998,0.8442458409118263,0.05527619610472482,0.06202636393380997,0.006440113176450631,0.02942731768355343,0.0004120495570552336,0.00217039555938234,4.926055676415677e-05,-5.622352567537008e-05
82.68,0.08216785861487494,-0.7980384445446502,1.148169923152155,0.055410478107417976,0.06216684357132896,0.010975839902779862,0.025098902939165873,0.0005447235292762678,0.0017293852770228501,-7.56592126473532e-05,-0.002267034964763495
82.72,0.08271616713983589,-0.798961789388233,1.166757592674882,0.056766063017175156,0.06303357965041798,0.010291335224055261,0.023732649849635332,0.00047223896470907807,0.002444726745280385,-0.00016078645650148874,0.0018209960718213107
82.56,0.10927651615153494,-0.9865657622967102,0.9846722530235628,0.0557029841929194,0.06234172452771593,0.008152657461417459,0.024870501436253408,0.0004681765926109306,0.0020939666359811896,-1.5042988422396403e-05,-0.002331499287733668
82.54,0.1394138628564346,-1.1027230837024238,0.8618945550108149,0.05761459675927572,0.06415586249881096,0.005648481415940158,0.026173562758284957,0.00042108796495166843,0.0021489902789360764,6.653989415004377e-05,4.325993409714949e-05
82.66,0.08247052938012943,-0.8063760084637629,1.1613196211994465,0.056075292642781605,0.06250134641291777,0.010627184594232644,0.024355673501619456,0.0003468681111416697,0.00216146983953107,0.00023844589572205772,0.002685041484309296
82.48,0.13841144316665027,-1.107475646624346,0.8352781710802066,0.05414064313287886,0.06105742950380235,0.006860989624979021,0.03116517928670094,0.00024121025908896334,0.0012843488295272683,-0.000120085007507219,-0.0027093817666429118
82.66,0.08211544460310274,-0.7811664474515048,1.1577252452319287,0.056410491712976754,0.06277393039944447,0.010531543205179435,0.024302349613777814,0.0006362953838151346,0.0019442487097369396,0.00013176255471975464,-0.00016446878279197265
82.52,0.1394311056362237,-1.1258816248601102,0.8468770049388827,0.05535088796257296,0.06197097800309574,0.00637293972156043,0.028939702879005838,0.00039294809277941144,0.0029490083927872536,0.00059497834999801,-0.003032988792222424
82.58,0.11012262467880131,-0.9871729988066146,0.9989282626888852,0.05736431967059545,0.06375868696274996,0.0074580891966752475,0.022938040634347415,0.0003480862773848806,0.0031548619358653532,0.0003787138555887995,0.00020769303206650953
82.52,0.13823094142076559,-1.1208674027367418,0.8525510866829126,0.05544188347060859,0.06162876096384441,0.006366101858903343,0.02854958763256841,0.00038444035920846885,0.00271488617353898,-0.000823340598427244,-0.002010748656475501
82.5,0.1393330404160019,-1.1107413638987857,0.8580322988051462,0.05692466147469385,0.06341979621375324,0.0058654543144211445,0.026956209705610717,0.0004562240773756945,0.0011361311394890328,0.0002836358856869331,-0.002001043776232109
82.52,0.13985284245004437,-1.1180026210205483,0.8588313805732128,0.05711241230991854,0.0635980511381719,0.005792849064494148,0.026634852017798447,0.00028843401258594234,0.001193483156404145,0.00044152193054999264,0.0008719592238036764
82.7,0.08214833585549752,-0.8164416169549621,1.1405904502265007,0.054445345280197954,0.06150361327225353,0.011467542758309586,0.025984439550882067,0.0005250842940964711,0.001172717287759533,-0.0003006643839911113,-0.001735575337576333
82.58,0.10958276545214624,-1.0157622864134865,0.9954468804651972,0.05596086452890544,0.062060113784603736,0.008020545513456443,0.02418869906624625,0.0003123410872387399,0.002511338386548284,-3.7109636045875704e-05,0.0021981073530266113
82.7,0.08217647545563687,-0.7862138259757425,1.164285479841524,0.05664533457447842,0.06283558093883024,0.01041658744935415,0.02402271525059769,0.0004801708527130354,0.0019809291325366862,-0.0003124793415961016,-0.0014251126951632127
82.64,0.08145132092250557,-0.7966156391968396,1.145272667461055,0.05482595631791892,0.06151026076845705,0.011380728987785409,0.0258900775059419,0.0005810715263114316,0.001418446170499914,1.0016052370536534e-05,0.0010671141795885804
82.48,0.1383657076623666,-1.1112095042600856,0.8491438671760023,0.055427327938467726,0.06190437065486494,0.0063767407266854936,0.02889090787106026,0.00049429494437472,0.0021615864616677176,-0.0006831510828188545,-0.00014499994437182319
82.58,0.10991838889524914,-1.002461891994274,0.9843981556100783,0.05558765719743095,0.06226251907993307,0.008164270736742054,0.024864928656601747,0.0,0.0,0.0,0.0
82.48,0.1392178583118156,-1.1115866308621276,0.8646866145649679,0.05753262082493735,0.06378751557949344,0.005681709430567736,0.026030627123614588,0.00041238461347941816,0.0015647074592317564,0.0004544912519180188,0.0020359420994666847
82.66,0.08210556252245618,-0.7898351569369695,1.1498204263383738,0.05571366876425556,0.06236560948537912,0.010846827542893019,0.024888327597946534,0.00016931037822966844,0.0018669021100445476,0.00012045168235415705,0.0005698579882193844
82.68,0.0823402422777005,-0.7943642952180153,1.1554087959689427,0.05603152061200794,0.06257414576635112,0.010663545205508327,0.024499843137111937,0.0004498215219748485,0.0032114965238119477,-0.00021156375764824203,-0.00013753689870314357
82.54,0.139154149347613,-1.117231698953408,0.8536686395987848,0.05618295742956137,0.06264079338247724,0.006101191757850447,0.027792544227543643,0.0003964598177462008,0.0022291918572954167,-0.00013425793637750381,0.0003127381171354502
82.66,0.08126370009177669,-0.7950070848450899,1.1479866720063054,0.05488449128703239,0.06144418335392963,0.011373659832518776,0.025870363100703484,0.0005340415593727758,0.0015556376489665258,0.0001020914121706739,-0.0014992731217698659
82.6,0.10991838889524914,-1.002461891994274,0.9843981556100783,0.05558765719743095,0.06226251907993307,0.008164270736742054,0.024864928656601747,0.0,0.0,0.0,0.0
82.62,0.1107143124174268,-0.9936532959907757,0.9976888750085313,0.05739063332156382,0.0639411085403059,0.007413902014639918,0.022867062339844216,0.0006261105013105103,0.0018883640768254726,4.126763775671282e-05,-0.0011849297144050457
82.68,0.0816461298271257,-0.7872284613796728,1.150131775898413,0.05549385975062636,0.06203326559103682,0.011018562483273039,0.025220418576783605,0.00042681261662927395,0.0017091525271612056,-4.865165967752433e-05,0.0002371185148830983
82.5,0.13871149204828687,-1.1126866092462655,0.8478109900832093,0.05548306685199484,0.062036222284848,0.0063518666601540714,0.02886363377738046,0.0004349032109279597,0.0022362070678038676,0.00023594452809817812,-0.0015106201259842604
82.66,0.08213537270557503,-0.7969706369193114,1.1525437918606891,0.055662602001649575,0.06226251907993307,0.010866367721220495,0.02488105367519172,0.0,0.0,0.0,0.0
82.52,0.13888572833246726,-1.1213942516799154,0.860530241342695,0.05662798182792617,0.06276192241085052,0.005958072121909735,0.02693488881781827,0.00033285218815108235,0.00305712778337525,-7.325917601875587e-05,0.0006231646805959503
82.62,0.1089888032879911,-0.9988254567218641,0.9733695081022811,0.05425746081115384,0.06105621732910389,0.008812348148963825,0.0266563944849783,0.0004922469945798588,0.0030332379465360148,-0.0003783394688113232,-0.0003790150394706348
82.52,0.13935982896756302,-1.121852888127222,0.861357192822764,0.05694687777478182,0.06319117721475306,0.005848104850098259,0.026607527331629254,0.0005127857101633334,0.0017294852031981569,-5.175246831468707e-05,0.0009824604579092516
82.5,0.13942753300962923,-1.1104342931801978,0.8597230815805077,0.05718991239998296,0.06364276207056611,0.0057831288827121866,0.02660546755735637,0.0003758144410325996,0.002371404461077608,-0.00021369508301864013,0.002946046381972209
82.72,0.08168344493329899,-0.7991079352542152,1.150356539787604,0.05517542740911384,0.06175881248065166,0.011168817518617332,0.025458040273448754,0.00032868663540609966,0.00126755289143601,0.00018161013052283575,-0.0008875513623010657
82.66,0.08200644724494963,-0.802079553973936,1.1470995014667247,0.05512553013206981,0.06189543451432023,0.011140538007920232,0.02539544701432715,0.0005008851878673273,0.001992398050006361,0.0003715256990542362,-0.0018948527998877958
82.6,0.10993291172754975,-0.9876437783620234,0.9835769116401051,0.05596809536833906,0.06280008658694737,0.008012177267220054,0.02459586129322409,0.0003400317265245152,0.002014299420732995,0.00016079447075738524,0.0005084493544555227
82.52,0.13952570488963334,-1.118634775497669,0.8493784915851861,0.055908342749419124,0.06257100336073652,0.006186577420903149,0.028296417707048913,0.0002875151115315339,0.0013148861385356885,0.00016038608911996417,0.0002288425140021841
82.7,0.0819317101478471,-0.7936087872090657,1.1640964823669082,0.05625021964521863,0.06242201959528755,0.010629940667687916,0.024398411402525758,0.0002722983780673668,0.001991138843938744,-0.0004978562945513449,-0.0005454819919094648
82.48,0.1392147805309441,-1.1080933729872926,0.8445366856119518,0.05552018605831386,0.062419449935100756,0.006321294237769194,0.02904252039455548,0.0002974326943095182,0.00285961851503836,0.00012482342429105355,-0.0007699220519488383
82.62,0.11081178349392147,-1.0161290892046377,0.9932933015330078,0.05644109447824905,0.06294967520872054,0.007765547854691963,0.023695825239531502,0.0004072937740296375,0.0013236954288246296,0.00017708034679266672,0.0027156523601234595
82.6,0.11020845582844693,-0.9973157017330698,0.9851087718491147,0.055975962726094314,0.06274360515651188,0.00799204547283697,0.024474908384659117,0.00029331606201444085,0.0019495844609675312,-6.301591827639804e-05,0.0016866614041935702
82.72,0.08213537270509584,-0.7969706369141971,1.152543791864127,0.05566260200165845,0.06226251907971565,0.010866367721285856,0.024881053675320994,0.0,0.0,0.0,0.0
82.48,0.13809705936974354,-1.1080861864548608,0.8533859660811879,0.05582138322580838,0.06214542785643821,0.0062482947338865415,0.028272750309315777,0.00039733693594383305,0.002384371260405921,-0.00043997954355504777,0.0019681905538339326
82.58,0.10886652963060975,-0.9988688545997543,0.9805934413433969,0.05478477897581909,0.06132659093693626,0.008569795570173533,0.02588934592215552,0.0001878453467049449,0.002061713762465969,-0.0007114784303791881,0.000951099571231475
