time,rmin_ias15,rmin_noNN,rmin_v4,pair_ias15,pair_noNN,pair_v4,err_noNN,err_v4
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.583578631377114031e-18,1.583578631377114031e-18
2.000400080016003293e-02,9.999977304628420161e-01,9.999685521944330358e-01,9.999685521944330358e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.629964802577700433e-02,4.629964802577700433e-02
4.000800160032006586e-02,9.999908974618602064e-01,9.999685521944330358e-01,9.999685521944330358e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.088292338184455213e-02,3.088292338184455213e-02
6.001200240048010226e-02,9.999794658948808479e-01,9.999685521944330358e-01,9.999685521944330358e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.546313329598776945e-02,1.546313329598776945e-02
8.001600320064013172e-02,9.999634026478597670e-01,9.998729693870217483e-01,9.998729693870217483e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.176394072066561380e-02,6.176394072066561380e-02
1.000200040008001612e-01,9.999426766094022812e-01,9.998729693870217483e-01,9.998729693870217483e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.634925569828817621e-02,4.634925569828817621e-02
1.200240048009602045e-01,9.999172586846860611e-01,9.998729693870217483e-01,9.998729693870217483e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.092991335769497072e-02,3.092991335769497072e-02
1.400280056011202201e-01,9.998871218087872492e-01,9.998729693870217483e-01,9.998729693870217483e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.550711020819528496e-02,1.550711020819528496e-02
1.600320064012802634e-01,9.998522409594090554e-01,9.997114945469639524e-01,9.997114945469639524e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.182050800959968534e-02,6.182050800959968534e-02
1.800360072014403068e-01,9.998125931690119428e-01,9.997114945469639524e-01,9.997114945469639524e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.640196037810923047e-02,4.640196037810923047e-02
2.000400080016003224e-01,9.997681575363455142e-01,9.997114945469639524e-01,9.997114945469639524e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.097835831855836122e-02,3.097835831855836122e-02
2.200440088017603657e-01,9.997189152373799903e-01,9.997114945469639524e-01,9.997114945469639524e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.555091217930563291e-02,1.555091217930563291e-02
