dt,repeat,bounded_ias15,bounded_simon,agree,lambda,final_rms,mean_rms,max_rms,speedup,t_ias15,t_simon,nn_eligible_pair_frac,total_substeps,steps,E0,min_initial_sep,center_to_com_before_both
0.04,0,True,True,True,0.0789711747682486,1.0163530787759838,1.016217513386755,2.3746374494580045,1.1064293876697295,0.0700007999985246,0.0632673000000068,0.004526091586794462,2503,2500,-0.0071736758866498915,1.0,False
0.04,1,True,True,True,0.0789711747682486,1.0163530787759838,1.016217513386755,2.3746374494580045,1.1388634972838196,0.07462870000017574,0.06552910000027623,0.004526091586794462,2503,2500,-0.0071736758866498915,1.0,False
0.04,2,True,True,True,0.0789711747682486,1.0163530787759838,1.016217513386755,2.3746374494580045,1.0920188589514521,0.06828110000060406,0.06252739999945334,0.004526091586794462,2503,2500,-0.0071736758866498915,1.0,False
0.04,3,True,True,True,0.0789711747682486,1.0163530787759838,1.016217513386755,2.3746374494580045,1.0922759373069033,0.06868810000014491,0.06288529999983439,0.004526091586794462,2503,2500,-0.0071736758866498915,1.0,False
0.04,4,True,True,True,0.0789711747682486,1.0163530787759838,1.016217513386755,2.3746374494580045,1.081890277115423,0.06837460000133433,0.06319919999987178,0.004526091586794462,2503,2500,-0.0071736758866498915,1.0,False
0.08,0,True,True,True,0.04928816616105032,1.2257470844561476,0.9171406864172502,2.2977858797285653,2.1327701898713607,0.06986230000075011,0.03275659999962954,0.0021316280309086064,1250,1250,-0.0071736758866498915,1.0,False
0.08,1,True,True,True,0.04928816616105032,1.2257470844561476,0.9171406864172502,2.2977858797285653,2.0335443019770048,0.06821260000106122,0.03354369999942719,0.0021316280309086064,1250,1250,-0.0071736758866498915,1.0,False
0.08,2,True,True,True,0.04928816616105032,1.2257470844561476,0.9171406864172502,2.2977858797285653,2.152573797232617,0.06942890000027546,0.03225390000079642,0.0021316280309086064,1250,1250,-0.0071736758866498915,1.0,False
0.08,3,True,True,True,0.04928816616105032,1.2257470844561476,0.9171406864172502,2.2977858797285653,1.8293561065345085,0.07103280000046652,0.038829399998576264,0.0021316280309086064,1250,1250,-0.0071736758866498915,1.0,False
0.08,4,True,True,True,0.04928816616105032,1.2257470844561476,0.9171406864172502,2.2977858797285653,1.9277239433888598,0.07269100000121398,0.03770819999954256,0.0021316280309086064,1250,1250,-0.0071736758866498915,1.0,False
