step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step,encounter_gate_suppressed
369,0,36.900000000000254,0.1,1,2,0.1405226492022885,-0.5655959731462298,0.78824534213392,0.01,0.005,1.107533257791393,1.000006836622593,False,False,1,False
370,0,37.000000000000256,0.1,1,2,0.12117109460192924,-0.6208914729313076,0.7985523886200283,0.01,0.005,1.147377841765544,1.000009194674762,False,True,1,False
371,0,37.10000000000026,0.1,1,2,0.09752568507778299,-0.7171865083221406,0.8547154906228558,0.01,0.005,1.2303035501770014,1.0000141937377385,False,True,1,False
372,0,37.20000000000026,0.1,1,2,0.06802564760332133,-0.7950731700356688,1.0156568713297562,0.01,0.005,1.0,1.0000291736326603,False,True,1,True
373,2,37.35000000000026,0.05,1,2,0.054001578182271984,0.29405019568787744,1.1409181169217208,0.01,0.005,1.0,1.0000462939475223,False,False,1,True
374,0,37.40000000000026,0.1,1,2,0.0629543690802262,0.43789639755244025,1.0513734240045556,0.01,0.005,1.0,1.000034063124536,False,False,1,True
375,0,37.50000000000026,0.1,1,2,0.08283837807421124,0.5219633812032706,0.9229309723477718,0.01,0.005,1.0,1.0000196730646123,False,False,1,True
376,0,37.600000000000264,0.1,1,2,0.10202161886656437,0.4951792434191846,0.8581510398131577,0.01,0.005,1.0,1.000012970307909,False,False,1,True
377,0,37.700000000000266,0.1,1,2,0.11910493337033208,0.47805849833096686,0.8202395163982135,0.01,0.005,1.0,1.0000095164496972,False,False,1,True
378,0,37.80000000000027,0.1,1,2,0.13507172744092708,0.4798120056047761,0.7739395483305449,0.01,0.005,1.0,1.0000073995514778,False,False,1,True
388,0,38.80000000000028,0.1,1,2,0.1475458999962919,-0.7778781284079727,0.2618772467403858,0.01,0.005,1.0733380936005688,1.0000062012597903,False,True,1,False
389,0,38.90000000000028,0.1,1,2,0.1188316598565446,-0.96534253934917,0.3218890905730628,0.01,0.005,1.23216671112639,1.0000095602694685,False,True,1,False
390,0,39.000000000000284,0.1,1,2,0.07862265507856082,-1.2306354138548425,0.4255319430050777,0.01,0.005,1.0,1.0000218393615277,False,True,1,True
391,2,39.13333333333362,0.03333333333333333,1,2,0.052001413398454835,3.89894053203671,0.5375153000455761,0.01,0.005,1.0,1.0000499237369478,False,False,1,True
391,3,39.16666666666695,0.03333333333333333,1,2,0.11915796343516388,5.653150380436766,0.35828292043401255,0.01,0.005,1.0,1.0000095079811668,False,False,1,True
