step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step
369,0,36.900000000000254,0.1,1,2,0.1405226492022885,-0.5655959731462298,0.78824534213392,0.01,0.005,1.0990261337027059,1.000006836622593,False,False,1
370,0,37.000000000000256,0.1,1,2,0.12120271538669797,-0.618796602095382,0.7984358250586654,0.01,0.005,1.1400496934421624,1.000009189877751,False,True,1
371,0,37.10000000000026,0.1,1,2,0.09766627418719097,-0.7131924386874336,0.854029079114052,0.01,0.005,1.2280570840871712,1.000014152903716,False,True,1
372,0,37.20000000000026,0.1,1,2,0.06831765108262268,-0.7921142413005267,1.0133249243825238,0.01,0.005,1.3485517198526396,1.000028924776397,False,True,1
373,2,37.35000000000026,0.05,1,2,0.05434629280949277,0.3704507464273959,1.135676604997975,0.01,0.005,0.8557344480212169,1.0000457085272343,False,False,1
374,0,37.40000000000026,0.1,1,2,0.06577402637309891,0.5667569220109612,1.0275075275739436,0.01,0.005,0.77129105058013,1.0000312052144102,False,False,1
375,0,37.50000000000026,0.1,1,2,0.09309590213266215,0.7536986652898339,0.8723619150296862,0.01,0.005,0.8178475531882948,1.000015576639413,False,False,1
376,0,37.600000000000264,0.1,1,2,0.1213806762257279,0.8116291421216499,0.7979792932132945,0.01,0.005,0.8616774933018245,1.0000091629502041,False,False,1
377,0,37.700000000000266,0.1,1,2,0.1487006188826776,0.8724879267542791,0.7685444688166496,0.01,0.005,0.8885909371781272,1.0000061053231866,False,False,1
701,0,70.10000000000029,0.1,1,2,0.1459400916866188,-0.7064282474664882,0.7210527401080488,0.01,0.005,1.1220371945614882,1.000006338478153,False,True,1
702,0,70.20000000000029,0.1,1,2,0.1209730749278347,-0.8112727728018776,0.7878393477358456,0.01,0.005,1.1949057741015228,1.0000092248007955,False,True,1
703,0,70.30000000000028,0.1,1,2,0.09023754310086277,-0.8800904264789887,0.9306069482821474,0.01,0.005,1.3173009645647173,1.0000165790806428,False,True,1
704,0,70.40000000000028,0.1,1,2,0.05704217373655918,-0.7708149715788433,1.188578320868892,0.01,0.005,1.216195559588673,1.0000414901148966,False,True,1
705,0,70.50000000000027,0.1,1,2,0.06190796337056567,0.9573826704828797,1.1446257922907674,0.01,0.005,0.6512078304504325,1.0000352243740411,False,False,1
706,0,70.60000000000026,0.1,1,2,0.11137594237259912,1.4759988698542992,0.8723031328688823,0.01,0.005,0.754485941854751,1.0000108830787773,False,False,1
