old_event_index,new_event_index,pair,old_t_yr,new_t_yr,time_gap,old_r_au,new_r_au,old_v_rad_norm,new_v_rad_norm,old_v_tan_norm,new_v_tan_norm,old_c_pred,new_c_pred,delta_c_new_minus_old,old_phase,new_phase
0,0,1-2,36.900000000000254,36.900000000000254,0.0,0.1405226492022885,0.1405226492022885,-0.5655959731462298,-0.5655959731462298,0.78824534213392,0.78824534213392,1.0990261337027059,1.0755620651860078,-0.023464068516698022,approach,approach
1,1,1-2,37.000000000000256,37.000000000000256,0.0,0.12120271538669797,0.12128993267540111,-0.618796602095382,-0.6130223786976513,0.7984358250586654,0.7981145270858041,1.1400496934421624,1.0730149567761187,-0.06703473666604376,approach,approach
2,2,1-2,37.10000000000026,37.10000000000026,0.0,0.09766627418719097,0.09828305266429715,-0.7131924386874336,-0.6873860507647952,0.854029079114052,0.8510843241428702,1.2280570840871712,1.1518454569179255,-0.07621162716924568,approach,approach
3,3,1-2,37.20000000000026,37.20000000000026,0.0,0.06831765108262268,0.07034435020605803,-0.7921142413005267,-0.7423589269523447,1.0133249243825238,0.997992927147441,1.3485517198526396,1.3596860793600771,0.011134359507437575,approach,approach
4,4,1-2,37.35000000000026,37.35000000000026,0.0,0.05434629280949277,0.05113658563578129,0.3704507464273959,0.26307569364427813,1.135676604997975,1.172626038825068,0.8557344480212169,0.975608446164744,0.11987399814352706,recede/side,recede/side
5,5,1-2,37.40000000000026,37.40000000000026,0.0,0.06577402637309891,0.060288893456991975,0.5667569220109612,0.4687200602837301,1.0275075275739436,1.0754921852853603,0.77129105058013,0.8877256994278012,0.11643464884767118,recede/side,recede/side
6,6,1-2,37.50000000000026,37.50000000000026,0.0,0.09309590213266215,0.08427164574373538,0.7536986652898339,0.6693379594435136,0.8723619150296862,0.9187707811759351,0.8178475531882948,0.86401614898494,0.04616859579664512,recede/side,recede/side
7,7,1-2,37.600000000000264,37.600000000000264,0.0,0.1213806762257279,0.11053366517493642,0.8116291421216499,0.7342385826249767,0.7979792932132945,0.831253736337699,0.8616774933018245,0.8764604127094983,0.014782919407673734,recede/side,recede/side
8,8,1-2,37.700000000000266,37.700000000000266,0.0,0.1487006188826776,0.13643457584364777,0.8724879267542791,0.7996641256937403,0.7685444688166496,0.7775564882870396,0.8885909371781272,0.9049257689706703,0.016334831792543136,recede/side,recede/side
9,,1-2,70.10000000000029,,,0.1459400916866188,,-0.7064282474664882,,0.7210527401080488,,1.1220371945614882,,,approach,
10,,1-2,70.20000000000029,,,0.1209730749278347,,-0.8112727728018776,,0.7878393477358456,,1.1949057741015228,,,approach,
11,,1-2,70.30000000000028,,,0.09023754310086277,,-0.8800904264789887,,0.9306069482821474,,1.3173009645647173,,,approach,
12,,1-2,70.40000000000028,,,0.05704217373655918,,-0.7708149715788433,,1.188578320868892,,1.216195559588673,,,approach,
13,,1-2,70.50000000000027,,,0.06190796337056567,,0.9573826704828797,,1.1446257922907674,,0.6512078304504325,,,recede/side,
14,,1-2,70.60000000000026,,,0.11137594237259912,,1.4759988698542992,,0.8723031328688823,,0.754485941854751,,,recede/side,
