step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step
1031,0,82.4799999999986,0.08,1,2,0.14037499156541738,-1.180450316191633,0.7349407872503877,0.01,0.005,1.2009067864192284,1.0000068510127857,False,True,1
1032,0,82.5599999999986,0.08,1,2,0.10881626074911563,-1.1348854581826522,0.8609725921217796,0.01,0.005,1.256064907442967,1.0000114011063652,False,True,1
1033,0,82.6399999999986,0.08,1,2,0.07501666129893886,-1.0487450892169061,1.0481107119305115,0.01,0.005,1.3459700546521998,1.0000239894362355,False,True,1
1035,0,82.79999999999859,0.08,1,2,0.05211444777729089,0.6636189087720875,1.2559621118819335,0.01,0.005,0.6972149798918003,1.0000497074044066,False,False,1
1036,0,82.87999999999859,0.08,1,2,0.0871085863217652,1.2703289067553607,0.9793673499583787,0.01,0.005,0.7567846953428,1.0000177915229411,False,False,1
1037,0,82.95999999999859,0.08,1,2,0.129029590058468,1.5810907440552515,0.8120864022830655,0.01,0.005,0.7887835413926899,1.000008108783786,False,False,1
