step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step
1675,0,33.49999999999964,0.02,1,2,0.14806412540714978,-1.3195327075307914,0.39240056550195623,0.01,0.005,1.071020309003978,1.0000061579268118,False,True,1
1676,0,33.51999999999964,0.02,1,2,0.13959371241137017,-1.3058864167234625,0.4093385168824588,0.01,0.005,1.067232404227051,1.000006927915079,False,True,1
1677,0,33.539999999999644,0.02,1,2,0.1309455767933047,-1.29394522083561,0.42733763038021855,0.01,0.005,1.0647331494264218,1.0000078732251734,False,True,1
1678,0,33.55999999999965,0.02,1,2,0.1220814452098348,-1.2835454380624158,0.4467265616055649,0.01,0.005,1.0639868572057798,1.0000090580580674,False,True,1
1679,0,33.57999999999965,0.02,1,2,0.11295571487544333,-1.2745133880294048,0.46798103725294254,0.01,0.005,1.065729185697248,1.0000105807905477,False,True,1
1680,0,33.59999999999965,0.02,1,2,0.10351242554149911,-1.266662525645918,0.4918040611144058,0.01,0.005,1.0710314350183243,1.000012599395533,False,True,1
1681,0,33.619999999999656,0.02,1,2,0.09368047521402474,-1.259783810598426,0.5192702500643926,0.01,0.005,1.081412164908184,1.0000153828466882,False,True,1
1682,0,33.63999999999966,0.02,1,2,0.08336573871006152,-1.253617841944428,0.5521050554120541,0.01,0.005,1.0992037894863178,1.0000194249526493,False,True,1
1683,0,33.65999999999966,0.02,1,2,0.0724373703255382,-1.2477921018554246,0.5932782439538995,0.01,0.005,1.1286731637586227,1.0000257282518925,False,True,1
1684,0,33.679999999999666,0.02,1,2,0.06070232108993974,-1.2417083139271212,0.6484370873987114,0.01,0.005,1.179421745130058,1.0000366374994671,False,True,1
1690,2,33.80999999999968,0.01,1,2,0.05049823884809513,1.2083612061588092,0.7070879601998853,0.01,0.005,0.8885666780167485,1.0000529401461704,False,False,1
1691,0,33.81999999999969,0.02,1,2,0.05695298805858662,1.2401565771700387,0.664688562414381,0.01,0.005,0.8701739153382293,1.000041620160645,False,False,1
1692,0,33.83999999999969,0.02,1,2,0.06921154600468281,1.2873100724652564,0.6003413888994009,0.01,0.005,0.8912364311430762,1.000028182447568,False,False,1
1693,0,33.859999999999694,0.02,1,2,0.08082773748875122,1.319151769509114,0.5523987998920084,0.01,0.005,0.9049738478085573,1.0000206640012579,False,False,1
1694,0,33.8799999999997,0.02,1,2,0.09189400494441959,1.3420664756796317,0.5144498851956014,0.01,0.005,0.9137579823810205,1.0000159867641054,False,False,1
1695,0,33.8999999999997,0.02,1,2,0.10248933698664132,1.3591939778695155,0.48302213500744784,0.01,0.005,0.9188221245474789,1.0000128521957456,False,False,1
1696,0,33.9199999999997,0.02,1,2,0.1126768420889616,1.3722810742203693,0.45605512606639503,0.01,0.005,0.9213626363861371,1.0000106332299163,False,False,1
1697,0,33.939999999999706,0.02,1,2,0.12250653257400863,1.382361845368161,0.43223541521889797,0.01,0.005,0.9223483175669791,1.0000089953056357,False,False,1
1698,0,33.95999999999971,0.02,1,2,0.13201825259152597,1.3900824521947202,0.41067631336667615,0.01,0.005,0.9223217643485236,1.0000077458016032,False,False,1
1699,0,33.97999999999971,0.02,1,2,0.14124409180862557,1.3958775220689328,0.3907503697801874,0.01,0.005,0.9213314938643269,1.0000067669610588,False,False,1
