step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step
369,0,36.900000000000254,0.1,1,2,0.14043197818405379,-0.5662045720174177,0.7882674292594868,0.01,0.005,1.110583651726907,1.0000068454536917,False,False,1
370,0,37.000000000000256,0.1,1,2,0.12104221691600754,-0.6222464766505194,0.7988189892439866,0.01,0.005,1.1499633087609127,1.000009214264969,False,True,1
371,0,37.10000000000026,0.1,1,2,0.09732707038461713,-0.719083150329738,0.8555325230657719,0.01,0.005,1.2349188162259614,1.0000142517271147,False,True,1
372,0,37.20000000000026,0.1,1,2,0.06772893827403477,-0.7975841980107274,1.0179262730357603,0.01,0.005,1.1389868703871047,1.0000294298035735,False,True,1
373,2,37.35000000000026,0.05,1,2,0.054688725310707266,0.3422653420581343,1.1327462584982926,0.01,0.005,0.8746790681797498,1.0000451379087032,False,False,1
374,0,37.40000000000026,0.1,1,2,0.06527857180002328,0.5265136144246542,1.031580561868451,0.01,0.005,0.7801369649313107,1.0000316807003211,False,False,1
375,0,37.50000000000026,0.1,1,2,0.09102929853026405,0.7106709967868051,0.88067705074187,0.01,0.005,0.8205561298522295,1.0000162919307554,False,False,1
376,0,37.600000000000264,0.1,1,2,0.11792417913094218,0.7618613504854606,0.8059113759593051,0.01,0.005,0.8440300439689498,1.0000097079771975,False,False,1
377,0,37.700000000000266,0.1,1,2,0.14392109636677486,0.818290434685694,0.7749611865904155,0.01,0.005,0.8426576325303983,1.0000065175642752,False,False,1
980,0,97.9999999999987,0.1,1,2,0.12412585175530438,-1.3824829164986951,0.5586570804964324,0.01,0.005,1.4313871572506904,1.0000087621345812,False,True,1
981,0,98.0999999999987,0.1,1,2,0.07198147196458822,-1.5015163772073046,0.6926805790311156,0.01,0.005,1.1947945411506187,1.0000260551877893,False,True,1
