dt,tar_NN_on,tar_NN_off,tar_no_NN,final_err_NN_on,final_err_NN_off,final_err_no_NN,delta_on_vs_noNN_pct,delta_on_vs_off_pct,verdict,n_supp_pairs,n_active_firings,speedup_NN_on,speedup_no_NN,zone3_nn_frac_on
0.005,9.114582e-01,1.023727e+00,7.526556e-01,1.573564e+00,1.848354e+00,1.543911e+00,+21.10,-10.97,NN_hurts,44,160,0.19,0.21,0.003369
0.01,1.062527e+00,3.773285e+00,7.646561e-01,1.226771e+00,5.715949e+00,1.208953e+00,+38.95,-71.84,NN_hurts,23,52,0.38,0.40,0.002446
0.02,1.000783e+00,1.109435e+00,1.133394e+00,1.309650e+00,1.374036e+00,1.570798e+00,-11.70,-9.79,NN_helps,25,50,0.69,0.78,0.004818
0.04,1.465804e+00,2.219740e+00,1.086255e+00,1.306019e+00,2.421958e+00,1.287105e+00,+34.94,-33.97,NN_hurts,7,4,1.48,1.49,0.001332
0.08,9.472709e-01,9.679291e-01,9.890699e-01,1.257619e+00,1.225807e+00,1.623559e+00,-4.23,-2.13,NN_helps_mild,2,5,2.75,2.85,0.001733
0.1,2.506794e+01,1.043566e+00,1.081235e+00,5.447013e+01,1.836760e+00,1.427401e+00,+2218.45,+2302.14,CATASTROPHIC,10,4,3.28,3.44,0.003992
