dt,tar_NN_on,tar_NN_off,tar_no_NN,final_err_NN_on,final_err_NN_off,final_err_no_NN,delta_on_vs_noNN_pct,delta_on_vs_off_pct,verdict,n_supp_pairs,n_active_firings,speedup_NN_on,speedup_no_NN,zone3_nn_frac_on
0.005,4.499800e-01,4.499800e-01,4.499800e-01,1.366838e+00,1.366838e+00,1.366838e+00,+0.00,+0.00,tie,0,0,0.22,0.22,0.000000
0.01,2.138285e-01,2.138285e-01,2.138285e-01,1.081010e+00,1.081010e+00,1.081010e+00,+0.00,+0.00,tie,0,0,0.43,0.44,0.000000
0.02,1.066234e+00,1.066234e+00,1.066234e+00,1.886887e+00,1.886887e+00,1.886887e+00,+0.00,+0.00,tie,0,0,0.86,0.85,0.000000
0.04,1.599422e+00,1.599422e+00,1.599422e+00,3.453360e+00,3.453360e+00,3.453360e+00,+0.00,+0.00,tie,0,0,1.62,1.64,0.000000
0.08,9.726724e-01,9.726724e-01,9.726724e-01,1.571382e+00,1.571382e+00,1.571382e+00,+0.00,+0.00,tie,0,0,3.11,3.06,0.000000
0.1,1.172731e+00,1.172731e+00,1.172731e+00,1.854202e+00,1.854202e+00,1.854202e+00,+0.00,+0.00,tie,0,0,3.67,3.82,0.000000
