dt,tar_NN_on,tar_NN_off,tar_no_NN,final_err_NN_on,final_err_NN_off,final_err_no_NN,delta_on_vs_noNN_pct,delta_on_vs_off_pct,verdict,n_supp_pairs,n_active_firings,speedup_NN_on,speedup_no_NN,zone3_nn_frac_on
0.005,1.624307e-03,1.624307e-03,1.624307e-03,1.232241e-04,1.232241e-04,1.232241e-04,+0.00,+0.00,tie,0,0,0.20,0.20,0.000000
0.01,3.188358e-03,3.188358e-03,3.188358e-03,4.928913e-04,4.928913e-04,4.928913e-04,+0.00,+0.00,tie,0,0,0.38,0.38,0.000000
0.02,6.262487e-03,6.262487e-03,6.262487e-03,1.971485e-03,1.971485e-03,1.971485e-03,+0.00,+0.00,tie,0,0,0.77,0.76,0.000000
0.04,1.157006e-02,1.157006e-02,1.157006e-02,7.884645e-03,7.884645e-03,7.884645e-03,+0.00,+0.00,tie,0,0,1.46,1.48,0.000000
0.08,2.167090e-02,2.167090e-02,2.167090e-02,3.151665e-02,3.151665e-02,3.151665e-02,+0.00,+0.00,tie,0,0,2.73,2.74,0.000000
0.1,2.782691e-02,2.782691e-02,2.782691e-02,4.921716e-02,4.921716e-02,4.921716e-02,+0.00,+0.00,tie,0,0,3.22,3.38,0.000000
