dt,tar_NN_on,tar_NN_off,tar_no_NN,final_err_NN_on,final_err_NN_off,final_err_no_NN,delta_on_vs_noNN_pct,delta_on_vs_off_pct,verdict,n_supp_pairs,n_active_firings,speedup_NN_on,speedup_no_NN,zone3_nn_frac_on
0.005,1.407163e+01,1.407163e+01,1.592182e+01,2.650685e+01,2.650685e+01,3.443529e+01,-11.62,+0.00,NN_helps,0,68,0.24,0.24,0.001100
0.01,1.417861e+01,1.417861e+01,1.426691e+01,2.675867e+01,2.675867e+01,2.675779e+01,-0.62,+0.00,NN_helps_mild,0,19,0.48,0.48,0.000600
0.02,1.448511e+01,1.448511e+01,1.561806e+01,2.759068e+01,2.759068e+01,2.833653e+01,-7.25,+0.00,NN_helps_mild,0,21,0.94,0.91,0.001300
0.04,1.082428e+01,1.180362e+01,1.082428e+01,1.996884e+01,2.153426e+01,1.996884e+01,+0.00,-8.30,tie,4,0,1.82,1.89,0.000400
0.08,1.569567e+01,1.569567e+01,1.569567e+01,3.128218e+01,3.128218e+01,3.128218e+01,+0.00,+0.00,tie,0,0,3.49,3.58,0.000000
0.1,2.881512e+01,5.641329e+01,1.522293e+01,6.477531e+01,1.377571e+02,2.662098e+01,+89.29,-48.92,NN_hurts,2,7,3.88,4.23,0.002500
