dt,tar_NN_on,tar_NN_off,tar_no_NN,final_err_NN_on,final_err_NN_off,final_err_no_NN,delta_on_vs_noNN_pct,delta_on_vs_off_pct,verdict,n_supp_pairs,n_active_firings,speedup_NN_on,speedup_no_NN,zone3_nn_frac_on
0.005,5.681830e+03,1.656703e+02,1.933674e+01,1.011081e+04,2.873794e+02,3.315832e+01,+29283.60,+3329.60,CATASTROPHIC,10,28,0.32,0.05,0.000591
0.01,1.225070e+02,1.150953e+02,1.506193e+03,2.121357e+02,1.989449e+02,2.645960e+03,-91.87,+6.44,NN_helps,1,13,0.63,0.65,0.000433
0.02,2.098629e+02,2.117990e+02,1.377131e+02,3.653228e+02,3.686902e+02,2.386566e+02,+52.39,-0.91,NN_hurts,1,1,1.25,1.23,0.000100
0.04,3.066014e+01,3.850121e+01,1.486337e+02,5.438955e+01,6.948906e+01,3.072203e+02,-79.37,-20.37,NN_helps,2,14,2.28,2.39,0.001533
0.08,1.593758e+02,1.593758e+02,1.593758e+02,2.774590e+02,2.774590e+02,2.774590e+02,+0.00,+0.00,tie,0,0,4.45,4.37,0.000000
0.1,1.068100e+02,1.393486e+02,1.068100e+02,1.887593e+02,2.456666e+02,1.887593e+02,+0.00,-23.35,tie,1,0,5.39,5.36,0.000167
