dt,tar_NN_on,tar_NN_off,tar_no_NN,final_err_NN_on,final_err_NN_off,final_err_no_NN,delta_on_vs_noNN_pct,delta_on_vs_off_pct,verdict,n_supp_pairs,n_active_firings,speedup_NN_on,speedup_no_NN,zone3_nn_frac_on
0.005,4.307016e-01,4.307016e-01,4.307016e-01,3.722263e-01,3.722263e-01,3.722263e-01,+0.00,+0.00,tie,0,0,0.21,0.21,0.000000
0.01,1.327519e+00,1.327519e+00,1.327519e+00,3.086796e+00,3.086796e+00,3.086796e+00,+0.00,+0.00,tie,0,0,0.41,0.41,0.000000
0.02,1.091837e+00,1.091837e+00,1.091837e+00,1.590920e+00,1.590920e+00,1.590920e+00,+0.00,+0.00,tie,0,0,0.79,0.82,0.000000
0.04,1.419666e+00,1.419666e+00,1.419666e+00,1.598101e+00,1.598101e+00,1.598101e+00,+0.00,+0.00,tie,0,0,1.57,1.58,0.000000
0.08,6.709246e+00,6.709246e+00,6.709246e+00,8.969014e+00,8.969014e+00,8.969014e+00,+0.00,+0.00,tie,0,0,2.87,3.04,0.000000
0.1,1.380827e+01,1.380827e+01,1.380827e+01,2.352669e+01,2.352669e+01,2.352669e+01,+0.00,+0.00,tie,0,0,3.55,3.60,0.000000
