scope,t_start_local,t_end_local,n_samples,pos_noNN_timeavg,pos_encounterNN_timeavg,pos_gain_pct,vel_noNN_timeavg,vel_encounterNN_timeavg,vel_gain_pct,pos_noNN_final,pos_encounterNN_final,pos_final_gain_pct,vel_noNN_final,vel_encounterNN_final,vel_final_gain_pct
isolated_training_window_0_to_exit,0.0,0.5,126,0.03218055202122732,0.030681690266015225,4.657663281299207,0.032443940337274484,0.03113934201336056,4.021084709045299,0.043404486408708746,0.005901845060724098,86.4026842636711,0.04394523045229121,0.040042774754666895,8.880271322870836
isolated_physical_forward_window,0.0,4.0,1001,0.06668408226541796,0.3468824131589964,-420.18772902703347,0.07828095407118238,0.40507881118374056,-417.46790262085284,0.1275574784469386,0.7746441063700437,-507.29023166782054,0.11063647241008931,0.6481816515464087,-485.86615916660304
isolated_post_correction_to_physical_end,0.5,4.0,876,0.07024592697589606,0.3706238703518368,-427.6090533747407,0.08278360754452774,0.4328576048867475,-422.878402773063,0.1275574784469386,0.7746441063700437,-507.29023166782054,0.11063647241008931,0.6481816515464087,-485.86615916660304
isolated_post_correction_fixed_steps,0.5,2.5,501,0.04029948206589155,0.09979206138193979,-147.62616357891417,0.04727984526860931,0.1634972224870866,-245.80743984718143,0.06808383900880681,0.21819853902471736,-220.4850698805231,0.0981050149175941,0.3736632014997495,-280.880836533808
