step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step
671,0,33.55000000000023,0.05,1,2,0.13819279924612635,-1.2016132242911655,0.8927570422759425,0.01,0.005,1.1150422083495435,1.0000070690890428,False,True,1
672,0,33.60000000000023,0.05,1,2,0.1184933892720865,-1.1194404933586728,0.9482491533702805,0.01,0.005,1.1290423718881064,1.0000096149320827,False,True,1
673,0,33.650000000000226,0.05,1,2,0.09872417067551426,-1.0299912737058603,1.0236984961431543,0.01,0.005,1.1470886615051898,1.0000138512122012,False,True,1
674,0,33.70000000000022,0.05,1,2,0.0791169077386171,-0.9107019938127713,1.12986002646059,0.01,0.005,1.172309168736739,1.000021567346726,False,True,1
675,0,33.75000000000022,0.05,1,2,0.06097379719400266,-0.7024847069680409,1.2769263356417102,0.01,0.005,1.1455323747801651,1.000036311978532,False,True,1
677,0,33.850000000000215,0.05,1,2,0.052301672447681184,0.4115493473236904,1.3798307317696838,0.01,0.005,0.8247923620828382,1.000049352162549,False,False,1
678,0,33.90000000000021,0.05,1,2,0.0685672348551354,0.9146108968630194,1.209094664700184,0.01,0.005,0.8188684107416729,1.0000287145870694,False,False,1
679,0,33.95000000000021,0.05,1,2,0.09132131177990878,1.207445167697602,1.0475667947990452,0.01,0.005,0.8494684253408195,1.0000161879053966,False,False,1
680,0,34.000000000000206,0.05,1,2,0.11601011069263571,1.4043648720048791,0.9239059300845156,0.01,0.005,0.8736182568784875,1.0000100309672435,False,False,1
681,0,34.0500000000002,0.05,1,2,0.14121935601283497,1.5597913570262008,0.8262439225169803,0.01,0.005,0.8711690493680333,1.0000067693318533,False,False,1
