step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step
1675,0,33.49999999999964,0.02,1,2,0.1480663617163404,-1.3195269789945512,0.392301670079868,0.01,0.005,1.0710367478156313,1.0000061577408013,False,True,1
1676,0,33.51999999999964,0.02,1,2,0.13959603561175626,-1.3058859889203194,0.409239274268602,0.01,0.005,1.0672471115904332,1.0000069276844872,False,True,1
1677,0,33.539999999999644,0.02,1,2,0.13094795989757224,-1.2939502023345095,0.4272375985423624,0.01,0.005,1.0647460492737217,1.0000078729386086,False,True,1
1678,0,33.55999999999965,0.02,1,2,0.1220838586213419,-1.283555998159489,0.44662522317115516,0.01,0.005,1.0639981795383084,1.0000090576999425,False,True,1
1679,0,33.57999999999965,0.02,1,2,0.1129581253087804,-1.27452980633483,0.4678777713520592,0.01,0.005,1.0657391979919937,1.0000105803389812,False,True,1
1680,0,33.59999999999965,0.02,1,2,0.1035147942054762,-1.2666852518460634,0.49169810110076495,0.01,0.005,1.0710408286727608,1.0000125988189301,False,True,1
1681,0,33.619999999999656,0.02,1,2,0.09368275462663343,-1.2598135958302923,0.519160617980822,0.01,0.005,1.08142201070858,1.0000153820981292,False,True,1
1682,0,33.63999999999966,0.02,1,2,0.08336786673434202,-1.2536559685794426,0.5519904573950725,0.01,0.005,1.0992148250157585,1.0000194239609876,False,True,1
1683,0,33.65999999999966,0.02,1,2,0.07243925859834797,-1.2478407590233238,0.5931568988482435,0.01,0.005,1.128684493396229,1.0000257269105886,False,True,1
1684,0,33.679999999999666,0.02,1,2,0.060703831002588825,-1.24177130031849,0.6483064506960793,0.01,0.005,1.1794283417583433,1.000036635676878,False,True,1
1690,2,33.80999999999968,0.01,1,2,0.0505027892410719,1.2084858766759194,0.7069232448963197,0.01,0.005,0.88854374319436,1.0000529306065098,False,False,1
1691,0,33.81999999999969,0.02,1,2,0.056957890198605164,1.2402718375729145,0.6645348020570686,0.01,0.005,0.8701649611560934,1.0000416129967393,False,False,1
1692,0,33.83999999999969,0.02,1,2,0.06921701472585873,1.2874127748057898,0.6002040956193894,0.01,0.005,0.8912251035807418,1.0000281779944258,False,False,1
1693,0,33.859999999999694,0.02,1,2,0.08083366306962614,1.3192487706484095,0.5522734471079904,0.01,0.005,0.9049610089794775,1.0000206609717734,False,False,1
1694,0,33.8799999999997,0.02,1,2,0.09190034014738489,1.3421612196961643,0.5143335727597614,0.01,0.005,0.9137434776137281,1.000015984560063,False,False,1
1695,0,33.8999999999997,0.02,1,2,0.10249606180167879,1.35928843389203,0.4829129074968587,0.01,0.005,0.918806179031619,1.0000128505093202,False,False,1
1696,0,33.9199999999997,0.02,1,2,0.11268394982264685,1.37237643038043,0.4559515931025024,0.01,0.005,0.9213455867883684,1.0000106318885378,False,False,1
1697,0,33.939999999999706,0.02,1,2,0.12251402344635369,1.3824588468469834,0.43213654048786604,0.01,0.005,0.9223305060538148,1.0000089942056682,False,False,1
1698,0,33.95999999999971,0.02,1,2,0.13202613055192453,1.3901815805851243,0.4105812921713269,0.01,0.005,0.9223031741068998,1.0000077448772497,False,False,1
1699,0,33.97999999999971,0.02,1,2,0.14125236291872412,1.39597911248225,0.3906585546575892,0.01,0.005,0.9213114927169209,1.0000067661685952,False,False,1
