step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step,encounter_gate_suppressed
207,0,1.035,0.005,0,1,0.14288497826695562,-0.9971587111523594,0.8138574703397187,1.0,0.5,1.0796063149070736,1.0000066124302038,False,True,1,False
208,0,1.0399999999999998,0.005,0,1,0.12643002003319032,-0.98371591884641,0.8645756662444463,1.0,0.5,1.100439392781905,1.0000084456672422,False,True,1,False
209,0,1.0449999999999997,0.005,0,1,0.10921752205829632,-0.9585954791171667,0.9296872140056929,1.0,0.5,1.1243956921779248,1.0000113174855771,False,True,1,False
210,0,1.0499999999999996,0.005,0,1,0.09132627196742178,-0.9110079363631263,1.0162880665439422,1.0,0.5,1.1466904925002461,1.0000161861470183,False,True,1,False
211,0,1.0549999999999995,0.005,0,1,0.0732409691723909,-0.8136913552639051,1.134627393283996,1.0,0.5,1.1585978639662895,1.0000251667668092,False,True,1,False
212,0,1.0599999999999994,0.005,0,1,0.0568985184228595,-0.5910908521319471,1.2872917095521883,1.0,0.5,1.0,1.0000416998863024,False,False,1,True
213,2,1.0674999999999992,0.0025,0,1,0.050230006230337604,0.24052085500425388,1.3702768083270958,1.0,0.5,1.0,1.0000535070708985,False,False,1,True
214,0,1.0699999999999992,0.005,0,1,0.05494642153536414,0.47236212910277137,1.310149270509461,1.0,0.5,1.0,1.0000447155089052,False,False,1,True
215,0,1.074999999999999,0.005,0,1,0.07001581731291859,0.7889880063386775,1.1604362534124328,1.0,0.5,1.0,1.000027538700076,False,False,1,True
216,0,1.079999999999999,0.005,0,1,0.08861906337570896,0.9483068468508903,1.0310915096418682,1.0,0.5,1.0,1.0000171901909747,False,False,1,True
217,0,1.0849999999999989,0.005,0,1,0.10784461415149676,1.03723826557288,0.9342041212341835,1.0,0.5,1.0,1.0000116074731236,False,False,1,True
218,0,1.0899999999999987,0.005,0,1,0.12677434339203839,1.092059528549948,0.8611323133234542,1.0,0.5,1.0,1.000008399852051,False,False,1,True
219,0,1.0949999999999986,0.005,0,1,0.14514368931505733,1.1283000960230047,0.8042933151358937,1.0,0.5,1.0,1.0000064082274274,False,False,1,True
275,0,1.3749999999999927,0.005,1,2,0.14655722716873976,-0.635328414726383,1.1327573493269674,0.5,0.25,1.042562878773452,1.0000062852092955,False,True,1,False
276,0,1.3799999999999926,0.005,1,2,0.13950726488025414,-0.5977917077071454,1.162028747142492,0.5,0.25,1.0444853266760408,1.0000069365036979,False,False,1,False
