step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,deployment_domain_skip,domain_guard_enabled,vr_limit,vt_limit,strong_approach,n_zone3_pairs_this_step
838,0,33.51999999999946,0.04,1,2,0.141066995344936,-1.293352456486644,0.6566479672852827,0.01,0.005,1.0760516806700144,1.0000067839623215,False,False,True,2.0,2.0,True,1
839,0,33.55999999999946,0.04,1,2,0.12405704451362641,-1.2459860594188272,0.6968619952458833,0.01,0.005,1.0949004843016634,1.0000087718569857,False,False,True,2.0,2.0,True,1
840,0,33.59999999999946,0.04,1,2,0.10649612862601074,-1.2027378540727802,0.7479413026843448,0.01,0.005,1.1269232718813647,1.0000119032893058,False,False,True,2.0,2.0,True,1
841,0,33.63999999999946,0.04,1,2,0.08811394435028577,-1.1599905524685272,0.8171851717358523,0.01,0.005,1.1817568356309005,1.000017387844275,False,False,True,2.0,2.0,True,1
842,0,33.67999999999946,0.04,1,2,0.06859028273908538,-1.109478765282985,0.9204666269903498,0.01,0.005,1.2631618211019013,1.0000286952927204,False,False,True,2.0,2.0,True,1
846,0,33.839999999999456,0.04,1,2,0.05461535280950804,1.0423751075072436,1.0244869342672158,0.01,0.005,0.7800987605391692,1.0000452592713143,False,False,True,2.0,2.0,False,1
847,0,33.879999999999455,0.04,1,2,0.07645890916102686,1.2695554698578273,0.8609297365659065,0.01,0.005,0.8306532557263592,1.000023092940932,False,False,True,2.0,2.0,False,1
848,0,33.919999999999455,0.04,1,2,0.09848291821126168,1.4070128025704067,0.7494764240934001,0.01,0.005,0.8653299846023712,1.000013919157788,False,False,True,2.0,2.0,False,1
849,0,33.959999999999454,0.04,1,2,0.11999341675728936,1.5062982389436854,0.6657654804483092,0.01,0.005,0.8852881909789697,1.0000093760433677,False,False,True,2.0,2.0,False,1
850,0,33.99999999999945,0.04,1,2,0.14091748175575466,1.5864163956480313,0.5970084956391692,0.01,0.005,0.8970050974826167,1.0000067983655567,False,False,True,2.0,2.0,False,1
