step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,deployment_domain_skip,domain_guard_enabled,vr_limit,vt_limit,strong_approach,n_zone3_pairs_this_step
1675,0,33.49999999999964,0.02,1,2,0.14806520564570458,-1.319531897841564,0.392370383043359,0.01,0.005,1.0359785859660235,1.0000061578369595,False,False,True,2.0,2.0,True,1
1676,0,33.51999999999964,0.02,1,2,0.13959962035064144,-1.30435341952822,0.4093013416106384,0.01,0.005,1.0384949576869391,1.000006927328704,False,False,True,2.0,2.0,True,1
1677,0,33.539999999999644,0.02,1,2,0.13096614439803608,-1.2911309200975658,0.42727641920831777,0.01,0.005,1.042040497289456,1.0000078707524604,False,False,True,2.0,2.0,True,1
1678,0,33.55999999999965,0.02,1,2,0.1221257557317797,-1.2797207735461058,0.44662000205779573,0.01,0.005,1.047008581821694,1.0000090514862334,False,False,True,2.0,2.0,True,1
1679,0,33.57999999999965,0.02,1,2,0.11303198566523077,-1.2699716103640064,0.4678015695003037,0.01,0.005,1.0539920724246765,1.0000105665161028,False,False,True,2.0,2.0,True,1
1680,0,33.59999999999965,0.02,1,2,0.10362789766795107,-1.2617176816619278,0.49151455853315895,0.01,0.005,1.0639121051845872,1.0000125713322119,False,False,True,2.0,2.0,True,1
1681,0,33.619999999999656,0.02,1,2,0.09384134456813226,-1.2547681889950881,0.5188180141129817,0.01,0.005,1.0782995839685148,1.000015330151069,False,False,True,2.0,2.0,True,1
1682,0,33.63999999999966,0.02,1,2,0.08357712091380579,-1.2488932045025452,0.5514101610461611,0.01,0.005,1.0998137377909625,1.000019326817899,False,False,True,2.0,2.0,True,1
1683,0,33.65999999999966,0.02,1,2,0.07270313250368517,-1.2438044114301872,0.5922092016869506,0.01,0.005,1.131899956868028,1.0000255404985492,False,False,True,2.0,2.0,True,1
1684,0,33.679999999999666,0.02,1,2,0.061025041975704894,-1.2389426152210332,0.6467502216790756,0.01,0.005,1.174558406130531,1.0000362510189884,False,False,True,2.0,2.0,True,1
1691,0,33.81999999999969,0.02,1,2,0.05633751621870256,1.2196768848885366,0.6684316122704775,0.01,0.005,0.8651241149581325,1.0000425345120483,False,False,True,2.0,2.0,False,1
1692,0,33.83999999999969,0.02,1,2,0.06845259261526415,1.2649622299226388,0.603826908312548,0.01,0.005,0.8941791618591302,1.0000288108486388,False,False,True,2.0,2.0,False,1
1693,0,33.859999999999694,0.02,1,2,0.07991819822098024,1.2937550721682305,0.5557635799417423,0.01,0.005,0.9130629612432113,1.000021137028373,False,False,True,2.0,2.0,False,1
1694,0,33.8799999999997,0.02,1,2,0.09082001625982135,1.3131480437385294,0.5177994183905479,0.01,0.005,0.9256350529798957,1.000016367102512,False,False,True,2.0,2.0,False,1
1695,0,33.8999999999997,0.02,1,2,0.10123535511122853,1.3265486349994828,0.48643376159023255,0.01,0.005,0.9346055835291923,1.000013172563498,False,False,True,2.0,2.0,False,1
1696,0,33.9199999999997,0.02,1,2,0.11122698693080647,1.3357573106521152,0.4595894185573044,0.01,0.005,0.9415753895374094,1.0000109122476375,False,False,True,2.0,2.0,False,1
1697,0,33.939999999999706,0.02,1,2,0.12084475514428279,1.3418133432384765,0.4359440431940989,0.01,0.005,0.9474080206506582,1.0000092444020554,False,False,True,2.0,2.0,False,1
1698,0,33.95999999999971,0.02,1,2,0.13012832687538986,1.345369111804179,0.4146064391036172,0.01,0.005,0.9525529412337927,1.0000079724288817,False,False,True,2.0,2.0,False,1
1699,0,33.97999999999971,0.02,1,2,0.13910962004667543,1.3468664380969537,0.3949470822775398,0.01,0.005,0.9572374940110333,1.0000069762164128,False,False,True,2.0,2.0,False,1
1700,0,33.999999999999716,0.02,1,2,0.14781468163308725,1.3466253779828252,0.3765034884687387,0.01,0.005,0.9615714465096677,1.0000061787279144,False,False,True,2.0,2.0,False,1
2993,0,59.86000000000376,0.02,1,2,0.14314458952553488,-1.278991504675937,0.7063772868041308,0.01,0.005,1.0345337132378047,1.000006588466929,False,False,True,2.0,2.0,True,1
2994,0,59.88000000000376,0.02,1,2,0.1347661924860254,-1.2722659811092187,0.7308641914389646,0.01,0.005,1.039652190831895,1.000007433141315,False,False,True,2.0,2.0,True,1
2995,0,59.900000000003764,0.02,1,2,0.12617735777452357,-1.2622759725688888,0.758239343484132,0.01,0.005,1.0453692891336979,1.0000084795249946,False,False,True,2.0,2.0,True,1
2996,0,59.92000000000377,0.02,1,2,0.11737218329060685,-1.2484041562669446,0.7891567680954793,0.01,0.005,1.05155452949619,1.0000097995043828,False,False,True,2.0,2.0,True,1
2997,0,59.94000000000377,0.02,1,2,0.10834619738059731,-1.2297566186184608,0.8244623299283359,0.01,0.005,1.0591922320753593,1.0000115002492704,False,False,True,2.0,2.0,True,1
2998,0,59.960000000003774,0.02,1,2,0.09909836758698139,-1.2050819154086296,0.865274609567382,0.01,0.005,1.0697783162918908,1.0000137468046895,False,False,True,2.0,2.0,True,1
2999,0,59.98000000000378,0.02,1,2,0.08963470566800591,-1.1725718131519172,0.9131054111258682,0.01,0.005,1.0839261627550538,1.0000168028361027,False,False,True,2.0,2.0,True,1
3000,0,60.00000000000378,0.02,1,2,0.07997603713691866,-1.129351633884191,0.970030716733294,0.01,0.005,1.1015439624683416,1.0000211064665925,False,False,True,2.0,2.0,True,1
3001,0,60.02000000000378,0.02,1,2,0.07017575040388355,-1.070504638553563,1.0388931640741499,0.01,0.005,1.1218068479925114,1.0000274133191387,False,False,True,2.0,2.0,True,1
3002,0,60.040000000003786,0.02,1,2,0.06036107947323817,-0.9870736362492066,1.1233585794292011,0.01,0.005,1.1434310891959811,1.0000370529213507,False,False,True,2.0,2.0,True,1
3003,0,60.06000000000379,0.02,1,2,0.05083098629856427,-0.8619906869897621,1.2269323444348272,0.01,0.005,1.1611768726508798,1.0000522493000819,False,False,True,2.0,2.0,True,1
3008,2,60.1700000000038,0.01,1,2,0.05259872162581727,0.9020818604326691,1.2052408682180369,0.01,0.005,0.9478029213318148,1.0000487963033264,False,False,True,2.0,2.0,False,1
3009,0,60.18000000000381,0.02,1,2,0.05751815683586341,0.9854460425163322,1.1523065613197583,0.01,0.005,0.8908884919287531,1.0000408062607882,False,False,True,2.0,2.0,False,1
3010,0,60.20000000000381,0.02,1,2,0.06779463172629535,1.122186803553854,1.0616518699254063,0.01,0.005,0.9073556670362425,1.0000293727955742,False,False,True,2.0,2.0,False,1
3011,0,60.220000000003814,0.02,1,2,0.07838775819695049,1.2220638113318956,0.9886254730931935,0.01,0.005,0.915495643389304,1.0000219704458488,False,False,True,2.0,2.0,False,1
3012,0,60.24000000000382,0.02,1,2,0.08904293466242891,1.2997041979341168,0.9300000950456555,0.01,0.005,0.9215255325224775,1.0000170269190378,False,False,True,2.0,2.0,False,1
3013,0,60.26000000000382,0.02,1,2,0.09964573352646625,1.3629419824845563,0.8826641694043238,0.01,0.005,0.927464670153029,1.0000135961934626,False,False,True,2.0,2.0,False,1
3014,0,60.280000000003824,0.02,1,2,0.11014486373343704,1.4162925610160264,0.8442105355116689,0.01,0.005,0.932535774661026,1.0000111277170474,False,False,True,2.0,2.0,False,1
3015,0,60.30000000000383,0.02,1,2,0.12051918065673971,1.462620692706201,0.8128642309378161,0.01,0.005,0.936605873872438,1.0000092944158612,False,False,True,2.0,2.0,False,1
3016,0,60.32000000000383,0.02,1,2,0.1307626185066277,1.503799610545374,0.7873212938757499,0.01,0.005,0.9398250762441438,1.0000078952724747,False,False,True,2.0,2.0,False,1
3017,0,60.34000000000383,0.02,1,2,0.140876614679819,1.5410865124136524,0.766613995545371,0.01,0.005,0.9423576717347801,1.0000068023104256,False,False,True,2.0,2.0,False,1
3897,0,77.94000000000163,0.02,1,2,0.1499640736403092,-1.607247089447124,0.9034367196682203,0.01,0.005,1.0608777624750232,1.000006002881148,False,False,True,2.0,2.0,True,1
3898,0,77.96000000000163,0.02,1,2,0.1398096164150947,-1.5508370521651282,0.9236942273143147,0.01,0.005,1.065305145039416,1.0000069065344124,False,False,True,2.0,2.0,True,1
3899,0,77.98000000000162,0.02,1,2,0.1296602808184149,-1.4934181388300654,0.9481531531844085,0.01,0.005,1.0710027346898159,1.0000080300903924,False,False,True,2.0,2.0,True,1
3900,0,78.00000000000162,0.02,1,2,0.11951227416003057,-1.4340085571991936,0.9775108149770941,0.01,0.005,1.0779216474566802,1.000009451689185,False,False,True,2.0,2.0,True,1
3901,0,78.02000000000162,0.02,1,2,0.10936806214632626,-1.3712161313605433,1.0126858055721786,0.01,0.005,1.0855859888782438,1.0000112863509687,False,False,True,2.0,2.0,True,1
3902,0,78.04000000000161,0.02,1,2,0.09924161339662856,-1.3029765871788705,1.05487989603739,0.01,0.005,1.09308915817255,1.0000137071488349,False,False,True,2.0,2.0,True,1
3903,0,78.06000000000161,0.02,1,2,0.08916830507988024,-1.226110321353695,1.105631613239624,0.01,0.005,1.1002429878996924,1.0000169790729498,False,False,True,2.0,2.0,True,1
3904,0,78.0800000000016,0.02,1,2,0.07922347113838044,-1.135671693114871,1.1667967532115158,0.01,0.005,1.1077275425895514,1.0000215093651128,False,False,True,2.0,2.0,True,1
3905,0,78.1000000000016,0.02,1,2,0.06955707118083079,-1.0238830149088225,1.240249731044812,0.01,0.005,1.115254307791433,1.0000279031487411,False,False,True,2.0,2.0,True,1
3906,0,78.1200000000016,0.02,1,2,0.06045887168544796,-0.8783165807757406,1.3266941182444818,0.01,0.005,1.1193223822656462,1.0000369331513708,False,False,True,2.0,2.0,True,1
3907,0,78.14000000000159,0.02,1,2,0.052472564902049545,-0.6798878269128639,1.4220739333325028,0.01,0.005,1.1045628818923674,1.0000490312235129,False,False,True,2.0,2.0,True,1
3911,0,78.22000000000158,0.02,1,2,0.05137830020878411,0.650380012306821,1.442344147660257,0.01,0.005,0.8834404056025674,1.00005114203512,False,False,True,2.0,2.0,False,1
3912,0,78.24000000000157,0.02,1,2,0.05950040894928472,0.9155633990888645,1.3415798034566466,0.01,0.005,0.8888637004953481,1.0000381326183871,False,False,True,2.0,2.0,False,1
3913,0,78.26000000000157,0.02,1,2,0.06928819852839793,1.117249756732764,1.2432883816920772,0.01,0.005,0.8994052441599072,1.0000281201261054,False,False,True,2.0,2.0,False,1
