t_yr,ias15_rmin,noNN_rmin,unguarded_rmin,guarded_rmin,ias15_pair,noNN_pair,unguarded_pair,guarded_pair,noNN_err,unguarded_err,guarded_err,unguarded_minus_noNN,guarded_minus_noNN
0.0,1.0,1.0,1.0,1.0,0-1,0-1,0-1,0-1,1.583578631377114e-18,1.583578631377114e-18,1.583578631377114e-18,0.0,0.0
0.020004000800160033,0.999997730462842,0.9999964547554078,0.9999964547554078,0.9999964547554078,0-1,0-1,0-1,0-1,0.0038513638176163,0.0038513638176163,0.0038513638176163,0.0,0.0
0.040008001600320066,0.9999908974618602,0.9999884829059419,0.9999884829059419,0.9999884829059419,0-1,0-1,0-1,0-1,0.003848444200752965,0.003848444200752965,0.003848444200752965,0.0,0.0
0.0600120024004801,0.9999794658948808,0.9999759084265779,0.9999759084265779,0.9999759084265779,0-1,0-1,0-1,0-1,0.0038455492075070825,0.0038455492075070825,0.0038455492075070825,0.0,0.0
0.08001600320064013,0.9999634026478598,0.9999586987184765,0.9999586987184765,0.9999586987184765,0-1,0-1,0-1,0-1,0.003842678684109722,0.003842678684109722,0.003842678684109722,0.0,0.0
0.10002000400080016,0.9999426766094023,0.9999368231864431,0.9999368231864431,0.9999368231864431,0-1,0-1,0-1,0-1,0.0038398324703868537,0.0038398324703868537,0.0038398324703868537,0.0,0.0
0.1200240048009602,0.9999172586846861,0.99991025325269,0.99991025325269,0.99991025325269,0-1,0-1,0-1,0-1,0.0038370103997842774,0.0038370103997842774,0.0038370103997842774,0.0,0.0
0.14002800560112022,0.9998871218087872,0.9998789623700036,0.9998789623700036,0.9998789623700036,0-1,0-1,0-1,0-1,0.0038342122993939303,0.0038342122993939303,0.0038342122993939303,0.0,0.0
0.16003200640128026,0.999852240959409,0.9998429260343131,0.9998429260343131,0.9998429260343131,0-1,0-1,0-1,0-1,0.003831437989981067,0.003831437989981067,0.003831437989981067,0.0,0.0
0.1800360072014403,0.9998125931690119,0.9998021217966625,0.9998021217966625,0.9998021217966625,0-1,0-1,0-1,0-1,0.0038286872860130773,0.0038286872860130773,0.0038286872860130773,0.0,0.0
0.20004000800160032,0.9997681575363455,0.9997565292745848,0.9997565292745848,0.9997565292745848,0-1,0-1,0-1,0-1,0.0038259599956891755,0.0038259599956891755,0.0038259599956891755,0.0,0.0
0.22004400880176037,0.99971891523738,0.9997061301628768,0.9997061301628768,0.9997061301628768,0-1,0-1,0-1,0-1,0.003823255920971453,0.003823255920971453,0.003823255920971453,0.0,0.0
0.2400480096019204,0.9996648495356383,0.9996509082437746,0.9996509082437746,0.9996509082437746,0-1,0-1,0-1,0-1,0.003820574857617024,0.003820574857617024,0.003820574857617024,0.0,0.0
0.2600520104020804,0.9996059457919261,0.9995908493965273,0.9995908493965273,0.9995908493965273,0-1,0-1,0-1,0-1,0.0038179165952117585,0.0038179165952117585,0.0038179165952117585,0.0,0.0
0.28005601120224044,0.9995421914734601,0.9995259416063712,0.9995259416063712,0.9995259416063712,0-1,0-1,0-1,0-1,0.0038152809172046246,0.0038152809172046246,0.0038152809172046246,0.0,0.0
0.3000600120024005,0.9994735761623923,0.9994561749728984,0.9994561749728984,0.9994561749728984,0-1,0-1,0-1,0-1,0.0038126676009437722,0.0038126676009437722,0.0038126676009437722,0.0,0.0
0.3200640128025605,0.9994000915637306,0.9993815417178242,0.9993815417178242,0.9993815417178242,0-1,0-1,0-1,0-1,0.0038100764177138036,0.0038100764177138036,0.0038100764177138036,0.0,0.0
0.34006801360272054,0.9993217315126518,0.9993020361921465,0.9993020361921465,0.9993020361921465,0-1,0-1,0-1,0-1,0.0038075071327739484,0.0038075071327739484,0.0038075071327739484,0.0,0.0
0.3600720144028806,0.9992384919812103,0.9992176548827012,0.9992176548827012,0.9992176548827012,0-1,0-1,0-1,0-1,0.0038049595053981137,0.0038049595053981137,0.0038049595053981137,0.0,0.0
0.38007601520304063,0.9991503710844346,0.9991283964181065,0.9991283964181065,0.9991283964181065,0-1,0-1,0-1,0-1,0.003802433288915466,0.003802433288915466,0.003802433288915466,0.0,0.0
0.40008001600320064,0.9990573690858162,0.9990342615740995,0.9990342615740995,0.9990342615740995,0-1,0-1,0-1,0-1,0.003799928230753025,0.003799928230753025,0.003799928230753025,0.0,0.0
0.4200840168033607,0.9989594884021844,0.9989352532782595,0.9989352532782595,0.9989352532782595,0-1,0-1,0-1,0-1,0.003797444072478897,0.003797444072478897,0.003797444072478897,0.0,0.0
0.44008801760352073,0.9988567336079688,0.9988313766141198,0.9988313766141198,0.9988313766141198,0-1,0-1,0-1,0-1,0.0037949805498473585,0.0037949805498473585,0.0037949805498473585,0.0,0.0
0.46009201840368075,0.9987491114388434,0.9987226388246605,0.9987226388246605,0.9987226388246605,0-1,0-1,0-1,0-1,0.0037925373928448716,0.0037925373928448716,0.0037925373928448716,0.0,0.0
0.4800960192038408,0.9986366307947565,0.9986090493151877,0.9986090493151877,0.9986090493151877,0-1,0-1,0-1,0-1,0.003790114325737684,0.003790114325737684,0.003790114325737684,0.0,0.0
0.5001000200040008,0.9985193027423361,0.9984906196555892,0.9984906196555892,0.9984906196555892,0-1,0-1,0-1,0-1,0.0037877110671208857,0.0037877110671208857,0.0037877110671208857,0.0,0.0
0.5201040208041608,0.9983971405166752,0.99836736358197,0.99836736358197,0.99836736358197,0-1,0-1,0-1,0-1,0.0037853273299680236,0.0037853273299680236,0.0037853273299680236,0.0,0.0
0.5401080216043209,0.9982701595224924,0.9982392969976636,0.9982392969976636,0.9982392969976636,0-1,0-1,0-1,0-1,0.0037829628216834756,0.0037829628216834756,0.0037829628216834756,0.0,0.0
0.5601120224044809,0.9981383773346628,0.998106437973613,0.998106437973613,0.998106437973613,0-1,0-1,0-1,0-1,0.0037806172441551,0.0037806172441551,0.0037806172441551,0.0,0.0
0.580116023204641,0.9980018136981209,0.9979688067481249,0.9979688067481249,0.9979688067481249,0-1,0-1,0-1,0-1,0.003778290293808246,0.003778290293808246,0.003778290293808246,0.0,0.0
0.600120024004801,0.9978604905271288,0.997826425725989,0.997826425725989,0.997826425725989,0-1,0-1,0-1,0-1,0.003775981661662512,0.003775981661662512,0.003775981661662512,0.0,0.0
0.620124024804961,0.9977144319039094,0.9976793194769634,0.9976793194769634,0.9976793194769634,0-1,0-1,0-1,0-1,0.003773691033388331,0.003773691033388331,0.003773691033388331,0.0,0.0
0.640128025605121,0.9975636640766404,0.9975275147336188,0.9975275147336188,0.9975275147336188,0-1,0-1,0-1,0-1,0.0037714180893660084,0.0037714180893660084,0.0037714180893660084,0.0,0.0
0.6601320264052811,0.9974082154568058,0.997371040388543,0.997371040388543,0.997371040388543,0-1,0-1,0-1,0-1,0.003769162504745959,0.003769162504745959,0.003769162504745959,0.0,0.0
0.6801360272054411,0.997248116615903,0.9972099274908995,0.9972099274908995,0.9972099274908995,0-1,0-1,0-1,0-1,0.003766923949510639,0.003766923949510639,0.003766923949510639,0.0,0.0
0.7001400280056012,0.9970834002815,0.9970442092423364,0.9970442092423364,0.9970442092423364,0-1,0-1,0-1,0-1,0.0037647020885372804,0.0037647020885372804,0.0037647020885372804,0.0,0.0
0.7201440288057612,0.9969141013326422,0.9968739209922463,0.9968739209922463,0.9968739209922463,0-1,0-1,0-1,0-1,0.0037624965816637186,0.0037624965816637186,0.0037624965816637186,0.0,0.0
0.7401480296059212,0.9967402567946027,0.9966991002323672,0.9966991002323672,0.9966991002323672,0-1,0-1,0-1,0-1,0.003760307083753845,0.003760307083753845,0.003760307083753845,0.0,0.0
