mi,mj,mean_rel_err_no_nn,mean_rel_err_simon,mean_reduction,median_rel_err_no_nn,median_rel_err_simon,median_reduction,max_rel_err_no_nn,max_rel_err_simon
1.000000000000000000e+00,1.000000000000000021e-02,3.921856088443336635e-02,1.312056148354964411e-03,2.989091658432833754e+01,1.803192652047412928e-03,1.428241747323727873e-03,1.262526218286418755e+00,3.694663269010591833e-01,3.841257047482498667e-03
1.000000000000000000e+00,5.000000000000000000e-01,3.921856088443336635e-02,9.074853111262607980e-04,4.321674456169438372e+01,1.803192652047531973e-03,8.672146285036159540e-04,2.079292245287595708e+00,3.694663269010590723e-01,2.893345290078983695e-03
6.999999999999999556e-01,4.000000000000000222e-01,3.921856088443336635e-02,8.822429751589700537e-04,4.445324246120138412e+01,1.803192652047473209e-03,8.789340286231441630e-04,2.051567686908409183e+00,3.694663269010590168e-01,2.548110280820975546e-03
