scope,t_start_local,t_end_local,n_samples,pos_noNN_timeavg,pos_encounterNN_timeavg,pos_gain_pct,vel_noNN_timeavg,vel_encounterNN_timeavg,vel_gain_pct,pos_noNN_final,pos_encounterNN_final,pos_final_gain_pct,vel_noNN_final,vel_encounterNN_final,vel_final_gain_pct
isolated_training_window_0_to_exit,0.0,0.5,126,0.032941725384977125,0.031408270705006056,4.655052709140706,0.050678847336765885,0.04971900328873229,1.8939737158095467,0.04414040265176037,0.0013956849613973867,96.83807831929299,0.04861581682230283,0.0013959184806301467,97.12867422194631
isolated_physical_forward_window,0.0,4.0,1001,0.07125665651875565,0.03453565350384841,51.53343534332377,0.06567774558201014,0.037787323072215745,42.46556008072527,0.1500916724956233,0.010078578165037837,93.2850517304138,0.11716026926402341,0.008027212804029477,93.14851966929167
isolated_post_correction_to_physical_end,0.5,4.0,876,0.07515438575997095,0.03494303271895446,53.50499858976166,0.06754528150677819,0.035722200371307515,47.113699766396294,0.1500916724956233,0.010078578165037837,93.2850517304138,0.11716026926402341,0.008027212804029477,93.14851966929167
isolated_post_correction_fixed_steps,0.5,2.5,501,0.03809870053001525,0.03607767223997879,5.304717121373305,0.04042949119045547,0.03600266221649708,10.949504541386524,0.05634226236261329,0.007648601611219795,86.42475241410409,0.05612209850530436,0.00996661045394789,82.24120138165199
