mode,dt,runtime_sec,speed_ratio_ias15_over_model,steps,planned_steps,completed_time,ejected,ejection_time,ejection_max_com,ejection_threshold_AU,total_substeps,avg_close_pair_frac,avg_nn_applied_frac,avg_fallback_frac,mean_c_accepted,accepted_nn_count,time_avg_rms,final_rms,max_rms,max_energy_drift_pct,final_energy_drift_pct,rms_energy_drift_pct,sun_earth_min,sun_earth_max,earth_moon_min,earth_moon_max,max_com,energy_finite,bounded,lunar_orbit_preserved,outcome,finite
SIMON_with_NN,0.008,11.203716700001678,0.017380446615728923,12500,12500,99.99999999998809,False,nan,nan,10.0,200000,0.3333333333333333,0.3333333333333333,0.0,1.0368844121170793,200001,0.02305644189385166,0.0025824703177133443,0.04268096114686611,1.7136045356201095e-05,-9.839779519916634e-07,7.026644082206342e-06,0.9833013587989494,1.0166299381454544,0.0023757340292834975,0.0026440217995209077,1.0191562546436688,True,True,True,Valid,True
SIMON_with_NN,0.012,7.621084800000972,0.02555090319977872,8334,8334,100.00800000000334,False,nan,nan,10.0,133344,0.3333333333333333,0.3333333333333333,0.0,1.036814968360414,133345,0.03397164982958909,0.03969835752355004,0.06335372327080363,3.779498581126257e-05,-3.1252853826027864e-06,1.904938638746115e-05,0.9833030085493931,1.0166377740577286,0.0023762119882451546,0.002647429527075478,1.0191250490515413,True,True,True,Valid,True
SIMON_with_NN,0.016,5.728998699996737,0.03398946486097836,6250,6250,100.00000000000675,False,nan,nan,10.0,100000,0.3333333333333333,0.3333333333333333,0.0,1.0367174950234026,100001,0.044508205339701463,0.005558885078052582,0.08462459849179439,6.641539698693406e-05,-7.32274457511785e-06,3.6966392637315644e-05,0.9833009852278058,1.016644724817182,0.002377716897156832,0.0026522806251524653,1.019175750158787,True,True,True,Valid,True
No_NN_baseline,0.008,5.416593499998271,0.035949827138069705,12500,12500,99.99999999998809,False,nan,nan,10.0,200000,0.3333333333333333,0.0,0.0,nan,0,0.023062694890999304,0.0022286858858195906,0.043167768883365196,1.5732504955786346e-05,1.6177079428665317e-07,9.881530305135734e-06,0.9832974076408766,1.0166328050255888,0.002376067128604775,0.0028424563290227185,1.0193594962000139,True,True,True,Valid,True
No_NN_baseline,0.012,3.648476099999243,0.05337176252906527,8334,8334,100.00800000000334,False,nan,nan,10.0,133344,0.3333333333333333,0.0,0.0,nan,0,0.03397537722197852,0.0377263911737284,0.06348956631671897,3.653129548078407e-05,4.0221237232820497e-07,2.2937906907762607e-05,0.9832984484957007,1.016638283431994,0.0023752009808593847,0.002844554303744374,1.0193347293128725,True,True,True,Valid,True
No_NN_baseline,0.016,2.747329899997567,0.07087812788784567,6250,6250,100.00000000000675,False,nan,nan,10.0,100000,0.3333333333333333,0.0,0.0,nan,0,0.04451302602696631,0.005464417214989066,0.0842856063514111,6.56508112237794e-05,7.117386475311359e-07,4.122592507288895e-05,0.983304020523879,1.0166439265173732,0.0023751316023909487,0.002850445875323142,1.0193511398003163,True,True,True,Valid,True
