local_t_yr,phase,pos_noNN_err,pos_encounterNN_err,pos_gain_instant_pct,vel_noNN_err,vel_encounterNN_err,vel_gain_instant_pct
0.0,pre_correction_window,9.82778646038974e-16,9.82778646038974e-16,0.0,2.8221486124673486e-17,2.8221486124673486e-17,0.0
0.004,pre_correction_window,0.07839626150579115,0.07839626150579115,0.0,0.07194986786009715,0.07194986786009715,0.0
0.008,pre_correction_window,0.07512372843436413,0.07512372843436413,0.0,0.06906415436502936,0.06906415436502936,0.0
0.012,pre_correction_window,0.07185207607428959,0.07185207607428959,0.0,0.0661715484576438,0.0661715484576438,0.0
0.016,pre_correction_window,0.06858133637054069,0.06858133637054069,0.0,0.06327180098053584,0.06327180098053584,0.0
0.02,pre_correction_window,0.06531154148231674,0.06531154148231674,0.0,0.060364654714111565,0.060364654714111565,0.0
0.024,pre_correction_window,0.062042723803224196,0.062042723803224196,0.0,0.05744984404597398,0.05744984404597398,0.0
0.028,pre_correction_window,0.05877491598588004,0.05877491598588004,0.0,0.05452709463204866,0.05452709463204866,0.0
0.032,pre_correction_window,0.05550815097255585,0.05550815097255585,0.0,0.05159612305354644,0.05159612305354644,0.0
0.036000000000000004,pre_correction_window,0.05224246203427306,0.05224246203427306,0.0,0.048656636476452415,0.048656636476452415,0.0
0.04,pre_correction_window,0.048977882822027204,0.048977882822027204,0.0,0.04570833232442376,0.04570833232442376,0.0
0.044,pre_correction_window,0.04571444743589818,0.04571444743589818,0.0,0.042750897982899744,0.042750897982899744,0.0
0.048,pre_correction_window,0.0424521905213102,0.0424521905213102,0.0,0.03978401056398348,0.03978401056398348,0.0
0.052000000000000005,pre_correction_window,0.03919114740783586,0.03919114740783586,0.0,0.036807336782250274,0.036807336782250274,0.0
0.056,pre_correction_window,0.035931354317056075,0.035931354317056075,0.0,0.033820533029079655,0.033820533029079655,0.0
0.06,pre_correction_window,0.03267284868705855,0.03267284868705855,0.0,0.030823245804143473,0.030823245804143473,0.0
0.064,pre_correction_window,0.02941566970317749,0.02941566970317749,0.0,0.0278151128044086,0.0278151128044086,0.0
0.068,pre_correction_window,0.0261598592135627,0.0261598592135627,0.0,0.02479576527113489,0.02479576527113489,0.0
0.07200000000000001,pre_correction_window,0.022905463410716337,0.022905463410716337,0.0,0.021764832878224855,0.021764832878224855,0.0
0.076,pre_correction_window,0.019652536163897866,0.019652536163897866,0.0,0.01872195414241053,0.01872195414241053,0.0
0.08,pre_correction_window,0.01640114628845278,0.01640114628845278,0.0,0.01566680005088077,0.01566680005088077,0.0
0.084,pre_correction_window,0.01315139555105893,0.01315139555105893,0.0,0.012599133763438141,0.012599133763438141,0.0
0.088,pre_correction_window,0.00990347202732198,0.00990347202732198,0.0,0.009518988946668128,0.009518988946668128,0.0
0.092,pre_correction_window,0.006657859337896785,0.006657859337896785,0.0,0.006427369091417199,0.006427369091417199,0.0
0.096,pre_correction_window,0.0034167366226790247,0.0034167366226790247,0.0,0.003330879183389761,0.003330879183389761,0.0
0.1,pre_correction_window,0.00029779040355566055,0.00029779040355566055,0.0,0.0004828055797244834,0.0004828055797244834,0.0
0.10400000000000001,pre_correction_window,0.07754541006393588,0.07754541006393588,0.0,0.08283626711497279,0.08283626711497279,0.0
0.108,pre_correction_window,0.07430822926652653,0.07430822926652653,0.0,0.07971063403699996,0.07971063403699996,0.0
0.112,pre_correction_window,0.07107250160399661,0.07107250160399661,0.0,0.07656602876874204,0.07656602876874204,0.0
0.116,pre_correction_window,0.06783826498934055,0.06783826498934055,0.0,0.07340178016792334,0.07340178016792334,0.0
0.12,pre_correction_window,0.06460555810740792,0.06460555810740792,0.0,0.07021718861819783,0.07021718861819783,0.0
0.124,pre_correction_window,0.06137442051821733,0.06137442051821733,0.0,0.06701152477300315,0.06701152477300315,0.0
0.128,pre_correction_window,0.05814489278657676,0.05814489278657676,0.0,0.06378402833593998,0.06378402833593998,0.0
0.132,pre_correction_window,0.05491701664817593,0.05491701664817593,0.0,0.0605339069283308,0.0605339069283308,0.0
0.136,pre_correction_window,0.0516908352273267,0.0516908352273267,0.0,0.05726033512258879,0.05726033512258879,0.0
0.14,pre_correction_window,0.04846639332950919,0.04846639332950919,0.0,0.05396245376479164,0.05396245376479164,0.0
0.14400000000000002,pre_correction_window,0.045243737844957804,0.045243737844957804,0.0,0.05063936978324279,0.05063936978324279,0.0
0.148,pre_correction_window,0.04202291832156673,0.04202291832156673,0.0,0.04729015680345811,0.04729015680345811,0.0
0.152,pre_correction_window,0.038803987803823534,0.038803987803823534,0.0,0.0439138571050834,0.0439138571050834,0.0
0.156,pre_correction_window,0.03558700410403346,0.03558700410403346,0.0,0.040509485844135565,0.040509485844135565,0.0
0.16,pre_correction_window,0.032372031803566695,0.032372031803566695,0.0,0.03707603919358204,0.03707603919358204,0.0
0.164,pre_correction_window,0.029159145543206567,0.029159145543206567,0.0,0.03361250949665318,0.03361250949665318,0.0
0.168,pre_correction_window,0.02594843571301947,0.02594843571301947,0.0,0.030117913544298925,0.030117913544298925,0.0
0.17200000000000001,pre_correction_window,0.022740018901278927,0.022740018901278927,0.0,0.026591346856130557,0.026591346856130557,0.0
0.176,pre_correction_window,0.019534058550332477,0.019534058550332477,0.0,0.023032093365967444,0.023032093365967444,0.0
0.18,pre_correction_window,0.01633080979129338,0.01633080979129338,0.0,0.01943986475033604,0.01943986475033604,0.0
0.184,pre_correction_window,0.013130729595639636,0.013130729595639636,0.0,0.015815383207305377,0.015815383207305377,0.0
0.188,pre_correction_window,0.009934798973316483,0.009934798973316483,0.0,0.012162045025381263,0.012162045025381263,0.0
0.192,pre_correction_window,0.006745757511550515,0.006745757511550515,0.0,0.008491983407504388,0.008491983407504388,0.0
0.196,pre_correction_window,0.0035759156518102328,0.0035759156518102328,0.0,0.004859936667046529,0.004859936667046529,0.0
0.2,pre_correction_window,0.0007076239768605996,0.0007076239768605996,0.0,0.0018417075954336288,0.0018417075954336288,0.0
0.20400000000000001,pre_correction_window,0.07621996751935531,0.07621996751935531,0.0,0.11503971818042268,0.11503971818042268,0.0
0.20800000000000002,pre_correction_window,0.07303647021748735,0.07303647021748735,0.0,0.11122429953280503,0.11122429953280503,0.0
0.212,pre_correction_window,0.0698551299851696,0.0698551299851696,0.0,0.10735564552894156,0.10735564552894156,0.0
0.216,pre_correction_window,0.0666760027191699,0.0666760027191699,0.0,0.10343141360353043,0.10343141360353043,0.0
0.22,pre_correction_window,0.06349914710976262,0.06349914710976262,0.0,0.09944914160155109,0.09944914160155109,0.0
0.224,pre_correction_window,0.060324625116611165,0.060324625116611165,0.0,0.09540624391219109,0.09540624391219109,0.0
0.228,pre_correction_window,0.05715250258242803,0.05715250258242803,0.0,0.0913000086617614,0.0913000086617614,0.0
0.232,pre_correction_window,0.05398285003928476,0.05398285003928476,0.0,0.08712759658670978,0.08712759658670978,0.0
0.23600000000000002,pre_correction_window,0.05081574378952322,0.05081574378952322,0.0,0.08288604252276884,0.08288604252276884,0.0
0.24,pre_correction_window,0.047651267386360885,0.047651267386360885,0.0,0.07857226094416975,0.07857226094416975,0.0
0.244,pre_correction_window,0.04448951370980998,0.04448951370980998,0.0,0.07418305779372354,0.07418305779372354,0.0
0.248,pre_correction_window,0.04133058795221491,0.04133058795221491,0.0,0.06971515218918999,0.06971515218918999,0.0
0.252,pre_correction_window,0.03817461203406353,0.03817461203406353,0.0,0.06516521390376404,0.06516521390376404,0.0
0.256,pre_correction_window,0.03502173134308166,0.03502173134308166,0.0,0.06052992663982577,0.06052992663982577,0.0
0.26,pre_correction_window,0.03187212539079335,0.03187212539079335,0.0,0.055806094765612456,0.055806094765612456,0.0
0.264,pre_correction_window,0.028726025368178178,0.028726025368178178,0.0,0.05099082606744029,0.05099082606744029,0.0
0.268,pre_correction_window,0.025583744492377696,0.025583744492377696,0.0,0.04608185364297007,0.04608185364297007,0.0
0.272,pre_correction_window,0.022445733582318796,0.022445733582318796,0.0,0.04107812702150877,0.04107812702150877,0.0
0.276,pre_correction_window,0.019312690333259237,0.019312690333259237,0.0,0.035980960924036826,0.035980960924036826,0.0
0.28,pre_correction_window,0.016185794446120585,0.016185794446120585,0.0,0.030796440936876692,0.030796440936876692,0.0
0.28400000000000003,pre_correction_window,0.013067277459474122,0.013067277459474122,0.0,0.025540981694775547,0.025540981694775547,0.0
0.28800000000000003,pre_correction_window,0.009962052392133767,0.009962052392133767,0.0,0.020255959389107247,0.020255959389107247,0.0
0.292,pre_correction_window,0.00688369768777629,0.00688369768777629,0.0,0.01505357726393292,0.01505357726393292,0.0
0.296,pre_correction_window,0.003888342913609317,0.003888342913609317,0.0,0.010295329995210151,0.010295329995210151,0.0
0.3,pre_correction_window,0.001542449901627135,0.001542449901627135,0.0,0.007325284598576948,0.007325284598576948,0.0
0.304,pre_correction_window,0.0742475644771227,0.0742475644771227,0.0,0.1850552426984316,0.1850552426984316,0.0
0.308,pre_correction_window,0.07114751866344934,0.07114751866344934,0.0,0.1795371218320154,0.1795371218320154,0.0
0.312,pre_correction_window,0.06805024202526044,0.06805024202526044,0.0,0.17385847588352293,0.17385847588352293,0.0
0.316,pre_correction_window,0.06495579961239317,0.06495579961239317,0.0,0.16801116580254963,0.16801116580254963,0.0
0.32,pre_correction_window,0.06186426457993757,0.06186426457993757,0.0,0.16198699212572662,0.16198699212572662,0.0
0.324,pre_correction_window,0.05877572091149109,0.05877572091149109,0.0,0.15577784101474337,0.15577784101474337,0.0
